"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";0;0
"27.02.2020";0;0
"28.02.2020";0;0
"29.02.2020";0;0
"01.03.2020";2;2
"02.03.2020";3;1
"03.03.2020";5;2
"04.03.2020";7;2
"05.03.2020";9;2
"06.03.2020";9;0
"07.03.2020";10;1
"08.03.2020";22;12
"09.03.2020";42;20
"10.03.2020";57;15
"11.03.2020";64;7
"12.03.2020";72;8
"13.03.2020";82;10
"14.03.2020";86;4
"15.03.2020";91;5
"16.03.2020";97;6
"17.03.2020";100;3
"18.03.2020";107;7
"19.03.2020";113;6
"20.03.2020";120;7
"21.03.2020";122;2
"22.03.2020";123;1
"23.03.2020";130;7
"24.03.2020";134;4
"25.03.2020";147;13
"26.03.2020";160;13
"27.03.2020";165;5
"28.03.2020";170;5
"29.03.2020";172;2
"30.03.2020";191;19
"31.03.2020";207;16
"01.04.2020";221;14
"02.04.2020";224;3
"03.04.2020";231;7
"04.04.2020";232;1
"05.04.2020";236;4
"06.04.2020";244;8
"07.04.2020";249;5
"08.04.2020";258;9
"09.04.2020";261;3
"10.04.2020";264;3
"11.04.2020";264;0
"12.04.2020";269;5
"13.04.2020";269;0
"14.04.2020";278;9
"15.04.2020";281;3
"16.04.2020";286;5
"17.04.2020";296;10
"18.04.2020";301;5
"19.04.2020";301;0
"20.04.2020";308;7
"21.04.2020";312;4
"22.04.2020";317;5
"23.04.2020";319;2
"24.04.2020";321;2
"25.04.2020";322;1
"26.04.2020";322;0
"27.04.2020";326;4
"28.04.2020";327;1
"29.04.2020";328;1
"30.04.2020";331;3
"01.05.2020";332;1
"02.05.2020";333;1
"03.05.2020";335;2
"04.05.2020";336;1
"05.05.2020";336;0
"06.05.2020";338;2
"07.05.2020";338;0
"08.05.2020";339;1
"09.05.2020";339;0
"10.05.2020";339;0
"11.05.2020";339;0
"12.05.2020";339;0
"13.05.2020";339;0
"14.05.2020";339;0
"15.05.2020";341;2
"16.05.2020";341;0
"17.05.2020";341;0
"18.05.2020";341;0
"19.05.2020";341;0
"20.05.2020";341;0
"21.05.2020";341;0
"22.05.2020";341;0
"23.05.2020";341;0
"24.05.2020";341;0
"25.05.2020";341;0
"26.05.2020";341;0
"27.05.2020";341;0
"28.05.2020";341;0
"29.05.2020";341;0
"30.05.2020";341;0
"31.05.2020";341;0
"01.06.2020";341;0
"02.06.2020";341;0
"03.06.2020";341;0
"04.06.2020";341;0
"05.06.2020";342;1
"06.06.2020";342;0
"07.06.2020";342;0
"08.06.2020";342;0
"09.06.2020";343;1
"10.06.2020";343;0
"11.06.2020";343;0
"12.06.2020";343;0
"13.06.2020";343;0
"14.06.2020";343;0
"15.06.2020";344;1
"16.06.2020";345;1
"17.06.2020";346;1
"18.06.2020";346;0
"19.06.2020";346;0
"20.06.2020";346;0
"21.06.2020";347;1
"22.06.2020";347;0
"23.06.2020";347;0
"24.06.2020";347;0
"25.06.2020";347;0
"26.06.2020";347;0
"27.06.2020";347;0
"28.06.2020";347;0
"29.06.2020";347;0
"30.06.2020";348;1
"01.07.2020";348;0
"02.07.2020";348;0
"03.07.2020";348;0
"04.07.2020";348;0
"05.07.2020";348;0
"06.07.2020";348;0
"07.07.2020";348;0
"08.07.2020";348;0
"09.07.2020";348;0
"10.07.2020";349;1
"11.07.2020";349;0
"12.07.2020";349;0
"13.07.2020";351;2
"14.07.2020";351;0
"15.07.2020";351;0
"16.07.2020";351;0
"17.07.2020";351;0
"18.07.2020";351;0
"19.07.2020";351;0
"20.07.2020";351;0
"21.07.2020";351;0
"22.07.2020";352;1
"23.07.2020";352;0
"24.07.2020";352;0
"25.07.2020";353;1
"26.07.2020";353;0
"27.07.2020";353;0
"28.07.2020";353;0
"29.07.2020";354;1
"30.07.2020";354;0
"31.07.2020";354;0
"01.08.2020";354;0
"02.08.2020";354;0
"03.08.2020";355;1
"04.08.2020";355;0
"05.08.2020";356;1
"06.08.2020";357;1
"07.08.2020";357;0
"08.08.2020";357;0
"09.08.2020";358;1
"10.08.2020";360;2
"11.08.2020";361;1
"12.08.2020";367;6
"13.08.2020";369;2
"14.08.2020";375;6
"15.08.2020";376;1
"16.08.2020";376;0
"17.08.2020";380;4
"18.08.2020";380;0
"19.08.2020";381;1
"20.08.2020";382;1
"21.08.2020";384;2
"22.08.2020";385;1
"23.08.2020";386;1
"24.08.2020";392;6
"25.08.2020";394;2
"26.08.2020";398;4
"27.08.2020";404;6
"28.08.2020";406;2
"29.08.2020";407;1
"30.08.2020";408;1
"31.08.2020";414;6
"01.09.2020";416;2
"02.09.2020";417;1
"03.09.2020";418;1
"04.09.2020";419;1
"05.09.2020";419;0
"06.09.2020";420;1
"07.09.2020";421;1
"08.09.2020";422;1
"09.09.2020";424;2
"10.09.2020";425;1
"11.09.2020";426;1
"12.09.2020";426;0
"13.09.2020";427;1
"14.09.2020";427;0
"15.09.2020";429;2
"16.09.2020";430;1
"17.09.2020";437;7
"18.09.2020";442;5
"19.09.2020";443;1
"20.09.2020";443;0
"21.09.2020";447;4
"22.09.2020";451;4
"23.09.2020";457;6
"24.09.2020";469;12
"25.09.2020";480;11
"26.09.2020";480;0
"27.09.2020";482;2
"28.09.2020";493;11
"29.09.2020";495;2
"30.09.2020";496;1
"01.10.2020";500;4
"02.10.2020";510;10
"03.10.2020";511;1
"04.10.2020";511;0
"05.10.2020";522;11
"06.10.2020";535;13
"07.10.2020";543;8
"08.10.2020";546;3
"09.10.2020";549;3
"10.10.2020";551;2
"11.10.2020";555;4
"12.10.2020";562;7
"13.10.2020";564;2
"14.10.2020";570;6
"15.10.2020";577;7
"16.10.2020";581;4
"17.10.2020";583;2
"18.10.2020";584;1
"19.10.2020";587;3
"20.10.2020";590;3
"21.10.2020";594;4
"22.10.2020";599;5
"23.10.2020";606;7
"24.10.2020";607;1
"25.10.2020";608;1
"26.10.2020";617;9
"27.10.2020";623;6
"28.10.2020";624;1
"29.10.2020";633;9
"30.10.2020";637;4
"31.10.2020";640;3
"01.11.2020";666;26
"02.11.2020";680;14
"03.11.2020";703;23
"04.11.2020";716;13
"05.11.2020";726;10
"06.11.2020";754;28
"07.11.2020";764;10
"08.11.2020";775;11
"09.11.2020";795;20
"10.11.2020";804;9
"11.11.2020";822;18
"12.11.2020";830;8
"13.11.2020";891;61
"14.11.2020";902;11
"15.11.2020";923;21
"16.11.2020";946;23
"17.11.2020";970;24
"18.11.2020";980;10
"19.11.2020";988;8
"20.11.2020";998;10
"21.11.2020";1003;5
"22.11.2020";1004;1
"23.11.2020";1017;13
"24.11.2020";1023;6
"25.11.2020";1030;7
"26.11.2020";1036;6
"27.11.2020";1049;13
"28.11.2020";1049;0
"29.11.2020";1053;4
"30.11.2020";1064;11
"01.12.2020";1070;6
"02.12.2020";1076;6
"03.12.2020";1081;5
"04.12.2020";1088;7
"05.12.2020";1088;0
"06.12.2020";1092;4
"07.12.2020";1096;4
"08.12.2020";1102;6
"09.12.2020";1107;5
"10.12.2020";1110;3
"11.12.2020";1121;11
"12.12.2020";1122;1
"13.12.2020";1123;1
"14.12.2020";1129;6
"15.12.2020";1136;7
"16.12.2020";1140;4
"17.12.2020";1146;6
"18.12.2020";1157;11
"19.12.2020";1160;3
"20.12.2020";1160;0
"21.12.2020";1169;9
"22.12.2020";1174;5
"23.12.2020";1183;9
"24.12.2020";1185;2
"25.12.2020";1187;2
"26.12.2020";1189;2
"27.12.2020";1193;4
"28.12.2020";1195;2
"29.12.2020";1201;6
"30.12.2020";1205;4
"31.12.2020";1209;4
"01.01.2021";1211;2
"02.01.2021";1213;2
"03.01.2021";1226;13
"04.01.2021";1250;24
"05.01.2021";1266;16
"06.01.2021";1280;14
"07.01.2021";1298;18
"08.01.2021";1316;18
"09.01.2021";1331;15
"10.01.2021";1337;6
"11.01.2021";1353;16
"12.01.2021";1358;5
"13.01.2021";1360;2
"14.01.2021";1370;10
"15.01.2021";1377;7
"16.01.2021";1379;2
"17.01.2021";1382;3
"18.01.2021";1393;11
"19.01.2021";1395;2
"20.01.2021";1406;11
"21.01.2021";1416;10
"22.01.2021";1423;7
"23.01.2021";1426;3
"24.01.2021";1429;3
"25.01.2021";1435;6
"26.01.2021";1442;7
"27.01.2021";1460;18
"28.01.2021";1480;20
"29.01.2021";1489;9
"30.01.2021";1500;11
"31.01.2021";1515;15
"01.02.2021";1550;35
"02.02.2021";1567;17
"03.02.2021";1581;14
"04.02.2021";1607;26
"05.02.2021";1617;10
"06.02.2021";1628;11
"07.02.2021";1635;7
"08.02.2021";1649;14
"09.02.2021";1660;11
"10.02.2021";1679;19
"11.02.2021";1697;18
"12.02.2021";1717;20
"13.02.2021";1728;11
"14.02.2021";1733;5
"15.02.2021";1759;26
"16.02.2021";1775;16
"17.02.2021";1815;40
"18.02.2021";1848;33
"19.02.2021";1883;35
"20.02.2021";1906;23
"21.02.2021";1932;26
"22.02.2021";1985;53
"23.02.2021";2010;25
"24.02.2021";2052;42
"25.02.2021";2074;22
"26.02.2021";2094;20
"27.02.2021";2115;21
"28.02.2021";2136;21
"01.03.2021";2172;36
"02.03.2021";2203;31
"03.03.2021";2231;28
"04.03.2021";2274;43
"05.03.2021";2309;35
"06.03.2021";2318;9
"07.03.2021";2334;16
"08.03.2021";2357;23
"09.03.2021";2375;18
"10.03.2021";2393;18
"11.03.2021";2414;21
"12.03.2021";2433;19
"13.03.2021";2445;12
"14.03.2021";2452;7
"15.03.2021";2468;16
"16.03.2021";2479;11
"17.03.2021";2495;16
"18.03.2021";2500;5
"19.03.2021";2510;10
"20.03.2021";2516;6
"21.03.2021";2521;5
"22.03.2021";2532;11
"23.03.2021";2544;12
"24.03.2021";2555;11
"25.03.2021";2561;6
"26.03.2021";2569;8
"27.03.2021";2575;6
"28.03.2021";2577;2
"29.03.2021";2585;8
"30.03.2021";2593;8
"31.03.2021";2602;9
"01.04.2021";2607;5
"02.04.2021";2612;5
"03.04.2021";2616;4
"04.04.2021";2619;3
"05.04.2021";2620;1
"06.04.2021";2629;9
"07.04.2021";2646;17
"08.04.2021";2661;15
"09.04.2021";2690;29
"10.04.2021";2706;16
"11.04.2021";2716;10
"12.04.2021";2748;32
"13.04.2021";2761;13
"14.04.2021";2784;23
"15.04.2021";2808;24
"16.04.2021";2841;33
"17.04.2021";2852;11
"18.04.2021";2861;9
"19.04.2021";2907;46
"20.04.2021";2963;56
"21.04.2021";3012;49
"22.04.2021";3069;57
"23.04.2021";3106;37
"24.04.2021";3137;31
"25.04.2021";3156;19
"26.04.2021";3182;26
"27.04.2021";3220;38
"28.04.2021";3257;37
"29.04.2021";3285;28
"30.04.2021";3320;35
"01.05.2021";3330;10
"02.05.2021";3352;22
"03.05.2021";3391;39
"04.05.2021";3429;38
"05.05.2021";3461;32
"06.05.2021";3510;49
"07.05.2021";3540;30
"08.05.2021";3567;27
"09.05.2021";3582;15
"10.05.2021";3611;29
"11.05.2021";3649;38
"12.05.2021";3670;21
"13.05.2021";3694;24
"14.05.2021";3717;23
"15.05.2021";3732;15
"16.05.2021";3750;18
"17.05.2021";3766;16
"18.05.2021";3805;39
"19.05.2021";3918;113
"20.05.2021";4028;110
"21.05.2021";4098;70
"22.05.2021";4143;45
"23.05.2021";4203;60
"24.05.2021";4248;45
"25.05.2021";4304;56
"26.05.2021";4349;45
"27.05.2021";4401;52
"28.05.2021";4450;49
"29.05.2021";4480;30
"30.05.2021";4506;26
"31.05.2021";4546;40
"01.06.2021";4578;32
"02.06.2021";4600;22
"03.06.2021";4622;22
"04.06.2021";4641;19
"05.06.2021";4651;10
"06.06.2021";4667;16
"07.06.2021";4681;14
"08.06.2021";4690;9
"09.06.2021";4704;14
"10.06.2021";4717;13
"11.06.2021";4737;20
"12.06.2021";4739;2
"13.06.2021";4754;15
"14.06.2021";4766;12
"15.06.2021";4782;16
"16.06.2021";4814;32
"17.06.2021";4827;13
"18.06.2021";4846;19
"19.06.2021";4854;8
"20.06.2021";4868;14
"21.06.2021";4896;28
"22.06.2021";4954;58
"23.06.2021";4990;36
"24.06.2021";5022;32
"25.06.2021";5050;28
"26.06.2021";5061;11
"27.06.2021";5076;15
"28.06.2021";5110;34
"29.06.2021";5131;21
"30.06.2021";5149;18
"01.07.2021";5167;18
"02.07.2021";5184;17
"03.07.2021";5194;10
"04.07.2021";5203;9
"05.07.2021";5224;21
"06.07.2021";5236;12
"07.07.2021";5253;17
"08.07.2021";5261;8
"09.07.2021";5269;8
"10.07.2021";5275;6
"11.07.2021";5280;5
"12.07.2021";5292;12
"13.07.2021";5298;6
"14.07.2021";5304;6
"15.07.2021";5315;11
"16.07.2021";5332;17
"17.07.2021";5337;5
"18.07.2021";5343;6
"19.07.2021";5351;8
"20.07.2021";5359;8
"21.07.2021";5376;17
"22.07.2021";5386;10
"23.07.2021";5405;19
"24.07.2021";5408;3
"25.07.2021";5415;7
"26.07.2021";5436;21
"27.07.2021";5453;17
"28.07.2021";5482;29
"29.07.2021";5507;25
"30.07.2021";5534;27
"31.07.2021";5542;8
"01.08.2021";5566;24
"02.08.2021";5599;33
"03.08.2021";5620;21
"04.08.2021";5642;22
"05.08.2021";5658;16
"06.08.2021";5676;18
"07.08.2021";5684;8
"08.08.2021";5690;6
"09.08.2021";5720;30
"10.08.2021";5745;25
"11.08.2021";5771;26
"12.08.2021";5800;29
"13.08.2021";5821;21
"14.08.2021";5835;14
"15.08.2021";5843;8
"16.08.2021";5865;22
"17.08.2021";5886;21
"18.08.2021";5928;42
"19.08.2021";5956;28
"20.08.2021";5996;40
"21.08.2021";6027;31
"22.08.2021";6066;39
"23.08.2021";6136;70
"24.08.2021";6228;92
"25.08.2021";6312;84
"26.08.2021";6391;79
"27.08.2021";6466;75
"28.08.2021";6510;44
"29.08.2021";6552;42
"30.08.2021";6648;96
"31.08.2021";6726;78
"01.09.2021";6805;79
"02.09.2021";6871;66
"03.09.2021";6932;61
"04.09.2021";6956;24
"05.09.2021";6996;40
"06.09.2021";7066;70
"07.09.2021";7116;50
"08.09.2021";7164;48
"09.09.2021";7185;21
