"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";1;1
"22.02.2020";1;0
"23.02.2020";1;0
"24.02.2020";1;0
"25.02.2020";1;0
"26.02.2020";4;3
"27.02.2020";6;2
"28.02.2020";15;9
"29.02.2020";21;6
"01.03.2020";31;10
"02.03.2020";43;12
"03.03.2020";74;31
"04.03.2020";107;33
"05.03.2020";140;33
"06.03.2020";164;24
"07.03.2020";184;20
"08.03.2020";249;65
"09.03.2020";496;247
"10.03.2020";737;241
"11.03.2020";913;176
"12.03.2020";1119;206
"13.03.2020";1266;147
"14.03.2020";1366;100
"15.03.2020";1465;99
"16.03.2020";1645;180
"17.03.2020";1821;176
"18.03.2020";2034;213
"19.03.2020";2273;239
"20.03.2020";2581;308
"21.03.2020";2755;174
"22.03.2020";2903;148
"23.03.2020";3199;296
"24.03.2020";3512;313
"25.03.2020";3804;292
"26.03.2020";4102;298
"27.03.2020";4364;262
"28.03.2020";4530;166
"29.03.2020";4636;106
"30.03.2020";4900;264
"31.03.2020";5108;208
"01.04.2020";5306;198
"02.04.2020";5504;198
"03.04.2020";5668;164
"04.04.2020";5756;88
"05.04.2020";5828;72
"06.04.2020";5987;159
"07.04.2020";6127;140
"08.04.2020";6233;106
"09.04.2020";6336;103
"10.04.2020";6404;68
"11.04.2020";6514;110
"12.04.2020";6590;76
"13.04.2020";6667;77
"14.04.2020";6789;122
"15.04.2020";6892;103
"16.04.2020";6972;80
"17.04.2020";7080;108
"18.04.2020";7129;49
"19.04.2020";7165;36
"20.04.2020";7249;84
"21.04.2020";7327;78
"22.04.2020";7404;77
"23.04.2020";7473;69
"24.04.2020";7526;53
"25.04.2020";7551;25
"26.04.2020";7588;37
"27.04.2020";7659;71
"28.04.2020";7709;50
"29.04.2020";7748;39
"30.04.2020";7787;39
"01.05.2020";7830;43
"02.05.2020";7853;23
"03.05.2020";7897;44
"04.05.2020";7942;45
"05.05.2020";7985;43
"06.05.2020";8024;39
"07.05.2020";8053;29
"08.05.2020";8095;42
"09.05.2020";8106;11
"10.05.2020";8118;12
"11.05.2020";8143;25
"12.05.2020";8162;19
"13.05.2020";8181;19
"14.05.2020";8205;24
"15.05.2020";8228;23
"16.05.2020";8241;13
"17.05.2020";8245;4
"18.05.2020";8262;17
"19.05.2020";8282;20
"20.05.2020";8301;19
"21.05.2020";8315;14
"22.05.2020";8341;26
"23.05.2020";8347;6
"24.05.2020";8353;6
"25.05.2020";8371;18
"26.05.2020";8383;12
"27.05.2020";8401;18
"28.05.2020";8417;16
"29.05.2020";8433;16
"30.05.2020";8433;0
"31.05.2020";8439;6
"01.06.2020";8446;7
"02.06.2020";8477;31
"03.06.2020";8489;12
"04.06.2020";8506;17
"05.06.2020";8536;30
"06.06.2020";8544;8
"07.06.2020";8553;9
"08.06.2020";8571;18
"09.06.2020";8584;13
"10.06.2020";8598;14
"11.06.2020";8609;11
"12.06.2020";8622;13
"13.06.2020";8629;7
"14.06.2020";8635;6
"15.06.2020";8653;18
"16.06.2020";8689;36
"17.06.2020";8704;15
"18.06.2020";8717;13
"19.06.2020";8735;18
"20.06.2020";8741;6
"21.06.2020";8745;4
"22.06.2020";8773;28
