"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";0;0
"27.02.2020";0;0
"28.02.2020";0;0
"29.02.2020";0;0
"01.03.2020";3;3
"02.03.2020";3;0
"03.03.2020";4;1
"04.03.2020";7;3
"05.03.2020";14;7
"06.03.2020";14;0
"07.03.2020";18;4
"08.03.2020";19;1
"09.03.2020";31;12
"10.03.2020";54;23
"11.03.2020";62;8
"12.03.2020";77;15
"13.03.2020";89;12
"14.03.2020";99;10
"15.03.2020";107;8
"16.03.2020";121;14
"17.03.2020";129;8
"18.03.2020";142;13
"19.03.2020";168;26
"20.03.2020";185;17
"21.03.2020";194;9
"22.03.2020";197;3
"23.03.2020";220;23
"24.03.2020";248;28
"25.03.2020";256;8
"26.03.2020";280;24
"27.03.2020";293;13
"28.03.2020";304;11
"29.03.2020";305;1
"30.03.2020";316;11
"31.03.2020";331;15
"01.04.2020";342;11
"02.04.2020";347;5
"03.04.2020";353;6
"04.04.2020";358;5
"05.04.2020";360;2
"06.04.2020";371;11
"07.04.2020";376;5
"08.04.2020";379;3
"09.04.2020";380;1
"10.04.2020";381;1
"11.04.2020";384;3
"12.04.2020";385;1
"13.04.2020";387;2
"14.04.2020";391;4
"15.04.2020";394;3
"16.04.2020";398;4
"17.04.2020";401;3
"18.04.2020";403;2
"19.04.2020";404;1
"20.04.2020";407;3
"21.04.2020";410;3
"22.04.2020";413;3
"23.04.2020";414;1
"24.04.2020";419;5
"25.04.2020";419;0
"26.04.2020";420;1
"27.04.2020";424;4
"28.04.2020";426;2
"29.04.2020";432;6
"30.04.2020";433;1
"01.05.2020";434;1
"02.05.2020";434;0
"03.05.2020";438;4
"04.05.2020";442;4
"05.05.2020";445;3
"06.05.2020";448;3
"07.05.2020";449;1
"08.05.2020";452;3
"09.05.2020";452;0
"10.05.2020";455;3
"11.05.2020";459;4
"12.05.2020";460;1
"13.05.2020";463;3
"14.05.2020";467;4
"15.05.2020";469;2
"16.05.2020";469;0
"17.05.2020";469;0
"18.05.2020";469;0
"19.05.2020";472;3
"20.05.2020";475;3
"21.05.2020";476;1
"22.05.2020";479;3
"23.05.2020";479;0
"24.05.2020";479;0
"25.05.2020";484;5
"26.05.2020";485;1
"27.05.2020";489;4
"28.05.2020";490;1
"29.05.2020";494;4
"30.05.2020";494;0
"31.05.2020";496;2
"01.06.2020";497;1
"02.06.2020";498;1
"03.06.2020";498;0
"04.06.2020";498;0
"05.06.2020";498;0
"06.06.2020";498;0
"07.06.2020";499;1
"08.06.2020";499;0
"09.06.2020";499;0
"10.06.2020";499;0
"11.06.2020";500;1
"12.06.2020";501;1
"13.06.2020";501;0
"14.06.2020";501;0
"15.06.2020";501;0
"16.06.2020";501;0
"17.06.2020";501;0
"18.06.2020";501;0
"19.06.2020";502;1
"20.06.2020";502;0
"21.06.2020";502;0
"22.06.2020";503;1
"23.06.2020";503;0
"24.06.2020";503;0
"25.06.2020";503;0
"26.06.2020";503;0
"27.06.2020";503;0
"28.06.2020";503;0
"29.06.2020";503;0
"30.06.2020";503;0
"01.07.2020";503;0
"02.07.2020";503;0
"03.07.2020";504;1
"04.07.2020";504;0
"05.07.2020";504;0
"06.07.2020";505;1
"07.07.2020";505;0
"08.07.2020";505;0
"09.07.2020";505;0
"10.07.2020";508;3
"11.07.2020";508;0
"12.07.2020";508;0
"13.07.2020";509;1
"14.07.2020";509;0
"15.07.2020";509;0
"16.07.2020";509;0
"17.07.2020";509;0
"18.07.2020";509;0
"19.07.2020";509;0
"20.07.2020";513;4
"21.07.2020";514;1
"22.07.2020";515;1
"23.07.2020";515;0
"24.07.2020";515;0
"25.07.2020";515;0
"26.07.2020";515;0
"27.07.2020";516;1
"28.07.2020";516;0
"29.07.2020";518;2
"30.07.2020";519;1
"31.07.2020";521;2
"01.08.2020";521;0
"02.08.2020";521;0
"03.08.2020";522;1
"04.08.2020";523;1
"05.08.2020";525;2
"06.08.2020";527;2
"07.08.2020";527;0
"08.08.2020";527;0
"09.08.2020";527;0
"10.08.2020";528;1
"11.08.2020";530;2
"12.08.2020";534;4
"13.08.2020";537;3
"14.08.2020";546;9
"15.08.2020";547;1
"16.08.2020";549;2
"17.08.2020";550;1
"18.08.2020";552;2
"19.08.2020";554;2
"20.08.2020";554;0
"21.08.2020";554;0
"22.08.2020";555;1
"23.08.2020";555;0
"24.08.2020";556;1
"25.08.2020";557;1
"26.08.2020";558;1
"27.08.2020";567;9
"28.08.2020";571;4
"29.08.2020";576;5
"30.08.2020";578;2
"31.08.2020";580;2
"01.09.2020";587;7
"02.09.2020";588;1
"03.09.2020";589;1
"04.09.2020";593;4
"05.09.2020";594;1
"06.09.2020";595;1
"07.09.2020";597;2
"08.09.2020";598;1
"09.09.2020";600;2
"10.09.2020";603;3
"11.09.2020";605;2
"12.09.2020";605;0
"13.09.2020";605;0
"14.09.2020";608;3
"15.09.2020";610;2
"16.09.2020";615;5
"17.09.2020";620;5
"18.09.2020";623;3
"19.09.2020";625;2
"20.09.2020";627;2
"21.09.2020";631;4
"22.09.2020";634;3
"23.09.2020";639;5
"24.09.2020";646;7
"25.09.2020";651;5
"26.09.2020";653;2
"27.09.2020";654;1
"28.09.2020";664;10
"29.09.2020";667;3
"30.09.2020";679;12
"01.10.2020";687;8
"02.10.2020";700;13
"03.10.2020";703;3
"04.10.2020";705;2
"05.10.2020";707;2
"06.10.2020";714;7
"07.10.2020";721;7
"08.10.2020";727;6
"09.10.2020";730;3
"10.10.2020";730;0
"11.10.2020";732;2
"12.10.2020";739;7
"13.10.2020";745;6
"14.10.2020";750;5
"15.10.2020";758;8
"16.10.2020";759;1
"17.10.2020";760;1
"18.10.2020";760;0
"19.10.2020";775;15
"20.10.2020";785;10
"21.10.2020";803;18
"22.10.2020";831;28
"23.10.2020";864;33
"24.10.2020";884;20
"25.10.2020";898;14
"26.10.2020";953;55
"27.10.2020";987;34
"28.10.2020";1026;39
"29.10.2020";1062;36
"30.10.2020";1101;39
"31.10.2020";1167;66
"01.11.2020";1175;8
"02.11.2020";1236;61
"03.11.2020";1277;41
"04.11.2020";1304;27
"05.11.2020";1326;22
"06.11.2020";1353;27
"07.11.2020";1361;8
"08.11.2020";1371;10
"09.11.2020";1390;19
"10.11.2020";1402;12
"11.11.2020";1430;28
"12.11.2020";1446;16
"13.11.2020";1460;14
"14.11.2020";1473;13
"15.11.2020";1482;9
"16.11.2020";1503;21
"17.11.2020";1519;16
"18.11.2020";1543;24
"19.11.2020";1560;17
"20.11.2020";1571;11
"21.11.2020";1583;12
"22.11.2020";1586;3
"23.11.2020";1629;43
"24.11.2020";1636;7
"25.11.2020";1670;34
"26.11.2020";1703;33
"27.11.2020";1727;24
"28.11.2020";1741;14
"29.11.2020";1754;13
"30.11.2020";1795;41
"01.12.2020";1814;19
"02.12.2020";1855;41
"03.12.2020";1883;28
"04.12.2020";1915;32
"05.12.2020";1924;9
"06.12.2020";1941;17
"07.12.2020";1983;42
"08.12.2020";2009;26
"09.12.2020";2052;43
"10.12.2020";2092;40
"11.12.2020";2123;31
"12.12.2020";2144;21
"13.12.2020";2195;51
"14.12.2020";2246;51
"15.12.2020";2284;38
"16.12.2020";2335;51
"17.12.2020";2393;58
"18.12.2020";2441;48
"19.12.2020";2468;27
"20.12.2020";2482;14
"21.12.2020";2539;57
"22.12.2020";2575;36
"23.12.2020";2615;40
"24.12.2020";2621;6
"25.12.2020";2644;23
"26.12.2020";2669;25
"27.12.2020";2680;11
"28.12.2020";2734;54
"29.12.2020";2763;29
"30.12.2020";2790;27
"31.12.2020";2810;20
"01.01.2021";2816;6
"02.01.2021";2843;27
"03.01.2021";2866;23
"04.01.2021";2900;34
"05.01.2021";2921;21
"06.01.2021";2958;37
"07.01.2021";2979;21
"08.01.2021";3012;33
"09.01.2021";3025;13
"10.01.2021";3030;5
"11.01.2021";3061;31
"12.01.2021";3088;27
"13.01.2021";3109;21
"14.01.2021";3128;19
"15.01.2021";3140;12
"16.01.2021";3143;3
"17.01.2021";3145;2
"18.01.2021";3159;14
"19.01.2021";3167;8
"20.01.2021";3187;20
"21.01.2021";3194;7
"22.01.2021";3211;17
"23.01.2021";3224;13
"24.01.2021";3225;1
"25.01.2021";3233;8
"26.01.2021";3234;1
"27.01.2021";3244;10
"28.01.2021";3247;3
"29.01.2021";3254;7
"30.01.2021";3255;1
"31.01.2021";3256;1
"01.02.2021";3273;17
"02.02.2021";3285;12
"03.02.2021";3303;18
"04.02.2021";3310;7
"05.02.2021";3318;8
"06.02.2021";3319;1
"07.02.2021";3322;3
"08.02.2021";3333;11
"09.02.2021";3338;5
"10.02.2021";3342;4
"11.02.2021";3350;8
"12.02.2021";3351;1
"13.02.2021";3351;0
"14.02.2021";3353;2
"15.02.2021";3360;7
"16.02.2021";3369;9
"17.02.2021";3380;11
"18.02.2021";3382;2
"19.02.2021";3389;7
"20.02.2021";3389;0
"21.02.2021";3391;2
"22.02.2021";3397;6
"23.02.2021";3409;12
"24.02.2021";3416;7
"25.02.2021";3426;10
"26.02.2021";3441;15
"27.02.2021";3450;9
"28.02.2021";3455;5
"01.03.2021";3469;14
"02.03.2021";3486;17
"03.03.2021";3495;9
"04.03.2021";3511;16
"05.03.2021";3524;13
"06.03.2021";3526;2
"07.03.2021";3536;10
"08.03.2021";3552;16
"09.03.2021";3564;12
"10.03.2021";3582;18
"11.03.2021";3599;17
"12.03.2021";3617;18
"13.03.2021";3626;9
"14.03.2021";3632;6
"15.03.2021";3658;26
"16.03.2021";3669;11
"17.03.2021";3696;27
"18.03.2021";3734;38
"19.03.2021";3751;17
"20.03.2021";3776;25
"21.03.2021";3791;15
"22.03.2021";3824;33
"23.03.2021";3843;19
"24.03.2021";3869;26
"25.03.2021";3892;23
"26.03.2021";3909;17
"27.03.2021";3933;24
"28.03.2021";3943;10
"29.03.2021";3965;22
"30.03.2021";3983;18
"31.03.2021";4006;23
"01.04.2021";4014;8
"02.04.2021";4031;17
"03.04.2021";4038;7
"04.04.2021";4048;10
"05.04.2021";4062;14
"06.04.2021";4089;27
"07.04.2021";4117;28
"08.04.2021";4149;32
"09.04.2021";4165;16
"10.04.2021";4181;16
"11.04.2021";4192;11
"12.04.2021";4225;33
"13.04.2021";4255;30
"14.04.2021";4274;19
"15.04.2021";4301;27
"16.04.2021";4327;26
"17.04.2021";4336;9
"18.04.2021";4343;7
"19.04.2021";4363;20
"20.04.2021";4394;31
"21.04.2021";4414;20
"22.04.2021";4443;29
"23.04.2021";4471;28
"24.04.2021";4481;10
"25.04.2021";4498;17
"26.04.2021";4537;39
"27.04.2021";4563;26
"28.04.2021";4588;25
"29.04.2021";4612;24
"30.04.2021";4640;28
"01.05.2021";4650;10
"02.05.2021";4674;24
"03.05.2021";4698;24
"04.05.2021";4717;19
"05.05.2021";4739;22
"06.05.2021";4758;19
"07.05.2021";4772;14
"08.05.2021";4789;17
"09.05.2021";4794;5
"10.05.2021";4828;34
"11.05.2021";4844;16
"12.05.2021";4882;38
"13.05.2021";4942;60
"14.05.2021";4981;39
"15.05.2021";4999;18
"16.05.2021";5026;27
"17.05.2021";5039;13
"18.05.2021";5091;52
"19.05.2021";5124;33
"20.05.2021";5173;49
"21.05.2021";5268;95
"22.05.2021";5310;42
"23.05.2021";5352;42
"24.05.2021";5387;35
"25.05.2021";5426;39
"26.05.2021";5449;23
"27.05.2021";5485;36
"28.05.2021";5508;23
"29.05.2021";5531;23
"30.05.2021";5548;17
"31.05.2021";5565;17
"01.06.2021";5578;13
"02.06.2021";5589;11
"03.06.2021";5603;14
"04.06.2021";5610;7
"05.06.2021";5611;1
"06.06.2021";5612;1
"07.06.2021";5618;6
"08.06.2021";5632;14
"09.06.2021";5651;19
"10.06.2021";5665;14
"11.06.2021";5672;7
"12.06.2021";5677;5
"13.06.2021";5679;2
"14.06.2021";5698;19
"15.06.2021";5703;5
"16.06.2021";5711;8
"17.06.2021";5723;12
"18.06.2021";5735;12
"19.06.2021";5739;4
"20.06.2021";5742;3
"21.06.2021";5756;14
"22.06.2021";5763;7
"23.06.2021";5774;11
"24.06.2021";5777;3
"25.06.2021";5783;6
"26.06.2021";5785;2
"27.06.2021";5786;1
"28.06.2021";5793;7
"29.06.2021";5798;5
"30.06.2021";5801;3
"01.07.2021";5806;5
"02.07.2021";5813;7
"03.07.2021";5814;1
"04.07.2021";5815;1
"05.07.2021";5823;8
"06.07.2021";5830;7
"07.07.2021";5835;5
"08.07.2021";5840;5
"09.07.2021";5850;10
"10.07.2021";5862;12
"11.07.2021";5872;10
"12.07.2021";5883;11
"13.07.2021";5890;7
"14.07.2021";5902;12
"15.07.2021";5917;15
"16.07.2021";5937;20
"17.07.2021";5948;11
"18.07.2021";5952;4
"19.07.2021";5969;17
"20.07.2021";5979;10
"21.07.2021";5988;9
"22.07.2021";5992;4
"23.07.2021";5996;4
"24.07.2021";6000;4
"25.07.2021";6003;3
"26.07.2021";6007;4
"27.07.2021";6017;10
"28.07.2021";6026;9
"29.07.2021";6038;12
"30.07.2021";6052;14
"31.07.2021";6059;7
"01.08.2021";6062;3
"02.08.2021";6076;14
"03.08.2021";6088;12
"04.08.2021";6118;30
"05.08.2021";6141;23
"06.08.2021";6159;18
"07.08.2021";6173;14
"08.08.2021";6177;4
"09.08.2021";6211;34
"10.08.2021";6238;27
"11.08.2021";6257;19
"12.08.2021";6273;16
"13.08.2021";6286;13
"14.08.2021";6302;16
"15.08.2021";6316;14
"16.08.2021";6346;30
"17.08.2021";6374;28
"18.08.2021";6422;48
"19.08.2021";6455;33
"20.08.2021";6496;41
"21.08.2021";6523;27
"22.08.2021";6545;22
"23.08.2021";6614;69
"24.08.2021";6667;53
"25.08.2021";6760;93
"26.08.2021";6827;67
"27.08.2021";6891;64
"28.08.2021";6941;50
"29.08.2021";6977;36
"30.08.2021";7053;76
"31.08.2021";7106;53
"01.09.2021";7176;70
"02.09.2021";7211;35
"03.09.2021";7248;37
"04.09.2021";7266;18
"05.09.2021";7274;8
"06.09.2021";7338;64
"07.09.2021";7384;46
"08.09.2021";7408;24
"09.09.2021";7421;13
