"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";0;0
"27.02.2020";0;0
"28.02.2020";0;0
"29.02.2020";0;0
"01.03.2020";0;0
"02.03.2020";0;0
"03.03.2020";0;0
"04.03.2020";2;2
"05.03.2020";2;0
"06.03.2020";2;0
"07.03.2020";2;0
"08.03.2020";2;0
"09.03.2020";6;4
"10.03.2020";7;1
"11.03.2020";10;3
"12.03.2020";18;8
"13.03.2020";21;3
"14.03.2020";22;1
"15.03.2020";23;1
"16.03.2020";32;9
"17.03.2020";35;3
"18.03.2020";40;5
"19.03.2020";50;10
"20.03.2020";57;7
"21.03.2020";63;6
"22.03.2020";65;2
"23.03.2020";72;7
"24.03.2020";78;6
"25.03.2020";85;7
"26.03.2020";95;10
"27.03.2020";99;4
"28.03.2020";101;2
"29.03.2020";106;5
"30.03.2020";111;5
"31.03.2020";113;2
"01.04.2020";114;1
"02.04.2020";116;2
"03.04.2020";119;3
"04.04.2020";119;0
"05.04.2020";119;0
"06.04.2020";120;1
"07.04.2020";121;1
"08.04.2020";121;0
"09.04.2020";121;0
"10.04.2020";122;1
"11.04.2020";123;1
"12.04.2020";123;0
"13.04.2020";123;0
"14.04.2020";123;0
"15.04.2020";124;1
"16.04.2020";124;0
"17.04.2020";125;1
"18.04.2020";125;0
"19.04.2020";125;0
"20.04.2020";127;2
"21.04.2020";127;0
"22.04.2020";127;0
"23.04.2020";127;0
"24.04.2020";127;0
"25.04.2020";128;1
"26.04.2020";129;1
"27.04.2020";130;1
"28.04.2020";130;0
"29.04.2020";130;0
"30.04.2020";131;1
"01.05.2020";131;0
"02.05.2020";131;0
"03.05.2020";131;0
"04.05.2020";131;0
"05.05.2020";132;1
"06.05.2020";132;0
"07.05.2020";132;0
"08.05.2020";132;0
"09.05.2020";133;1
"10.05.2020";136;3
"11.05.2020";136;0
"12.05.2020";137;1
"13.05.2020";137;0
"14.05.2020";137;0
"15.05.2020";138;1
"16.05.2020";138;0
"17.05.2020";138;0
"18.05.2020";138;0
"19.05.2020";138;0
"20.05.2020";138;0
"21.05.2020";138;0
"22.05.2020";138;0
"23.05.2020";138;0
"24.05.2020";138;0
"25.05.2020";138;0
"26.05.2020";140;2
"27.05.2020";140;0
"28.05.2020";144;4
"29.05.2020";150;6
"30.05.2020";150;0
"31.05.2020";150;0
"01.06.2020";150;0
"02.06.2020";150;0
"03.06.2020";150;0
"04.06.2020";150;0
"05.06.2020";150;0
"06.06.2020";150;0
"07.06.2020";150;0
"08.06.2020";151;1
"09.06.2020";151;0
"10.06.2020";151;0
"11.06.2020";152;1
"12.06.2020";152;0
"13.06.2020";153;1
"14.06.2020";153;0
"15.06.2020";153;0
"16.06.2020";153;0
"17.06.2020";153;0
"18.06.2020";153;0
"19.06.2020";153;0
"20.06.2020";153;0
"21.06.2020";153;0
"22.06.2020";153;0
"23.06.2020";155;2
"24.06.2020";155;0
"25.06.2020";156;1
"26.06.2020";159;3
"27.06.2020";159;0
"28.06.2020";159;0
"29.06.2020";159;0
"30.06.2020";159;0
"01.07.2020";159;0
"02.07.2020";159;0
"03.07.2020";159;0
"04.07.2020";159;0
"05.07.2020";159;0
"06.07.2020";159;0
"07.07.2020";159;0
"08.07.2020";159;0
"09.07.2020";159;0
"10.07.2020";159;0
"11.07.2020";159;0
"12.07.2020";159;0
"13.07.2020";159;0
"14.07.2020";159;0
"15.07.2020";159;0
"16.07.2020";159;0
"17.07.2020";159;0
"18.07.2020";159;0
"19.07.2020";159;0
"20.07.2020";159;0
"21.07.2020";159;0
"22.07.2020";159;0
"23.07.2020";159;0
"24.07.2020";159;0
"25.07.2020";159;0
"26.07.2020";159;0
"27.07.2020";159;0
"28.07.2020";159;0
"29.07.2020";159;0
"30.07.2020";159;0
"31.07.2020";159;0
"01.08.2020";160;1
"02.08.2020";160;0
"03.08.2020";160;0
"04.08.2020";160;0
"05.08.2020";162;2
"06.08.2020";164;2
"07.08.2020";165;1
"08.08.2020";165;0
"09.08.2020";165;0
"10.08.2020";167;2
"11.08.2020";168;1
"12.08.2020";169;1
"13.08.2020";171;2
"14.08.2020";171;0
"15.08.2020";171;0
"16.08.2020";171;0
"17.08.2020";172;1
"18.08.2020";174;2
"19.08.2020";174;0
"20.08.2020";175;1
"21.08.2020";176;1
"22.08.2020";177;1
"23.08.2020";177;0
"24.08.2020";180;3
"25.08.2020";180;0
"26.08.2020";181;1
"27.08.2020";181;0
"28.08.2020";182;1
"29.08.2020";183;1
"30.08.2020";183;0
"31.08.2020";186;3
"01.09.2020";187;1
"02.09.2020";187;0
"03.09.2020";187;0
"04.09.2020";187;0
"05.09.2020";189;2
"06.09.2020";189;0
"07.09.2020";191;2
"08.09.2020";191;0
"09.09.2020";192;1
"10.09.2020";193;1
"11.09.2020";193;0
"12.09.2020";193;0
"13.09.2020";193;0
"14.09.2020";195;2
"15.09.2020";198;3
"16.09.2020";199;1
"17.09.2020";200;1
"18.09.2020";202;2
"19.09.2020";202;0
"20.09.2020";202;0
"21.09.2020";202;0
"22.09.2020";202;0
"23.09.2020";204;2
"24.09.2020";204;0
"25.09.2020";206;2
"26.09.2020";209;3
"27.09.2020";210;1
"28.09.2020";215;5
"29.09.2020";229;14
"30.09.2020";239;10
"01.10.2020";249;10
"02.10.2020";256;7
"03.10.2020";268;12
"04.10.2020";269;1
"05.10.2020";282;13
"06.10.2020";289;7
"07.10.2020";295;6
"08.10.2020";299;4
"09.10.2020";302;3
"10.10.2020";305;3
"11.10.2020";305;0
"12.10.2020";314;9
"13.10.2020";321;7
"14.10.2020";323;2
"15.10.2020";324;1
"16.10.2020";330;6
"17.10.2020";331;1
"18.10.2020";332;1
"19.10.2020";339;7
"20.10.2020";344;5
"21.10.2020";355;11
"22.10.2020";366;11
"23.10.2020";373;7
"24.10.2020";378;5
"25.10.2020";381;3
"26.10.2020";403;22
"27.10.2020";408;5
"28.10.2020";435;27
"29.10.2020";446;11
"30.10.2020";459;13
"31.10.2020";460;1
"01.11.2020";463;3
"02.11.2020";478;15
"03.11.2020";488;10
"04.11.2020";495;7
"05.11.2020";503;8
"06.11.2020";513;10
"07.11.2020";514;1
"08.11.2020";515;1
"09.11.2020";526;11
"10.11.2020";533;7
"11.11.2020";538;5
"12.11.2020";543;5
"13.11.2020";547;4
"14.11.2020";550;3
"15.11.2020";550;0
"16.11.2020";557;7
"17.11.2020";560;3
"18.11.2020";572;12
"19.11.2020";595;23
"20.11.2020";608;13
"21.11.2020";612;4
"22.11.2020";613;1
"23.11.2020";619;6
"24.11.2020";626;7
"25.11.2020";630;4
"26.11.2020";634;4
"27.11.2020";656;22
"28.11.2020";656;0
"29.11.2020";658;2
"30.11.2020";685;27
"01.12.2020";689;4
"02.12.2020";689;0
"03.12.2020";700;11
"04.12.2020";703;3
"05.12.2020";704;1
"06.12.2020";704;0
"07.12.2020";720;16
"08.12.2020";727;7
"09.12.2020";732;5
"10.12.2020";737;5
"11.12.2020";744;7
"12.12.2020";746;2
"13.12.2020";747;1
"14.12.2020";751;4
"15.12.2020";752;1
"16.12.2020";755;3
"17.12.2020";764;9
"18.12.2020";768;4
"19.12.2020";769;1
"20.12.2020";771;2
"21.12.2020";791;20
"22.12.2020";801;10
"23.12.2020";816;15
"24.12.2020";822;6
"25.12.2020";835;13
"26.12.2020";845;10
"27.12.2020";850;5
"28.12.2020";871;21
"29.12.2020";891;20
"30.12.2020";909;18
"31.12.2020";913;4
"01.01.2021";916;3
"02.01.2021";938;22
"03.01.2021";955;17
"04.01.2021";988;33
"05.01.2021";1009;21
"06.01.2021";1023;14
"07.01.2021";1039;16
"08.01.2021";1064;25
"09.01.2021";1070;6
"10.01.2021";1078;8
"11.01.2021";1102;24
"12.01.2021";1114;12
"13.01.2021";1129;15
"14.01.2021";1134;5
"15.01.2021";1145;11
"16.01.2021";1150;5
"17.01.2021";1150;0
"18.01.2021";1161;11
"19.01.2021";1164;3
"20.01.2021";1166;2
"21.01.2021";1167;1
"22.01.2021";1175;8
"23.01.2021";1178;3
"24.01.2021";1179;1
"25.01.2021";1185;6
"26.01.2021";1188;3
"27.01.2021";1197;9
"28.01.2021";1201;4
"29.01.2021";1210;9
"30.01.2021";1210;0
"31.01.2021";1212;2
"01.02.2021";1213;1
"02.02.2021";1215;2
"03.02.2021";1229;14
"04.02.2021";1234;5
"05.02.2021";1239;5
"06.02.2021";1240;1
"07.02.2021";1240;0
"08.02.2021";1244;4
"09.02.2021";1246;2
"10.02.2021";1248;2
"11.02.2021";1250;2
"12.02.2021";1252;2
"13.02.2021";1253;1
"14.02.2021";1253;0
"15.02.2021";1255;2
"16.02.2021";1257;2
"17.02.2021";1261;4
"18.02.2021";1263;2
"19.02.2021";1265;2
"20.02.2021";1266;1
"21.02.2021";1266;0
"22.02.2021";1267;1
"23.02.2021";1268;1
"24.02.2021";1270;2
"25.02.2021";1274;4
"26.02.2021";1285;11
"27.02.2021";1288;3
"28.02.2021";1288;0
"01.03.2021";1292;4
"02.03.2021";1296;4
"03.03.2021";1298;2
"04.03.2021";1305;7
"05.03.2021";1307;2
"06.03.2021";1309;2
"07.03.2021";1311;2
"08.03.2021";1314;3
"09.03.2021";1318;4
"10.03.2021";1318;0
"11.03.2021";1319;1
"12.03.2021";1324;5
"13.03.2021";1326;2
"14.03.2021";1326;0
"15.03.2021";1335;9
"16.03.2021";1339;4
"17.03.2021";1344;5
"18.03.2021";1352;8
"19.03.2021";1362;10
"20.03.2021";1366;4
"21.03.2021";1367;1
"22.03.2021";1374;7
"23.03.2021";1383;9
"24.03.2021";1398;15
"25.03.2021";1429;31
"26.03.2021";1440;11
"27.03.2021";1445;5
"28.03.2021";1452;7
"29.03.2021";1467;15
"30.03.2021";1482;15
"31.03.2021";1489;7
"01.04.2021";1497;8
"02.04.2021";1505;8
"03.04.2021";1513;8
"04.04.2021";1531;18
"05.04.2021";1535;4
"06.04.2021";1549;14
"07.04.2021";1567;18
"08.04.2021";1576;9
"09.04.2021";1586;10
"10.04.2021";1589;3
"11.04.2021";1592;3
"12.04.2021";1608;16
"13.04.2021";1619;11
"14.04.2021";1623;4
"15.04.2021";1629;6
"16.04.2021";1646;17
"17.04.2021";1646;0
"18.04.2021";1648;2
"19.04.2021";1656;8
"20.04.2021";1662;6
"21.04.2021";1670;8
"22.04.2021";1685;15
"23.04.2021";1704;19
"24.04.2021";1714;10
"25.04.2021";1736;22
"26.04.2021";1760;24
"27.04.2021";1779;19
"28.04.2021";1796;17
"29.04.2021";1809;13
"30.04.2021";1825;16
"01.05.2021";1834;9
"02.05.2021";1850;16
"03.05.2021";1865;15
"04.05.2021";1878;13
"05.05.2021";1894;16
"06.05.2021";1913;19
"07.05.2021";1918;5
"08.05.2021";1919;1
"09.05.2021";1923;4
"10.05.2021";1929;6
"11.05.2021";1935;6
"12.05.2021";1935;0
"13.05.2021";1936;1
"14.05.2021";1940;4
"15.05.2021";1944;4
"16.05.2021";1945;1
"17.05.2021";1946;1
"18.05.2021";1957;11
"19.05.2021";1964;7
"20.05.2021";1981;17
"21.05.2021";1990;9
"22.05.2021";1997;7
"23.05.2021";2000;3
"24.05.2021";2007;7
"25.05.2021";2018;11
"26.05.2021";2030;12
"27.05.2021";2034;4
"28.05.2021";2046;12
"29.05.2021";2049;3
"30.05.2021";2050;1
"31.05.2021";2054;4
"01.06.2021";2059;5
"02.06.2021";2061;2
"03.06.2021";2065;4
"04.06.2021";2069;4
"05.06.2021";2073;4
"06.06.2021";2073;0
"07.06.2021";2076;3
"08.06.2021";2081;5
"09.06.2021";2082;1
"10.06.2021";2083;1
"11.06.2021";2083;0
"12.06.2021";2083;0
"13.06.2021";2083;0
"14.06.2021";2083;0
"15.06.2021";2089;6
"16.06.2021";2091;2
"17.06.2021";2094;3
"18.06.2021";2097;3
"19.06.2021";2098;1
"20.06.2021";2098;0
"21.06.2021";2099;1
"22.06.2021";2103;4
"23.06.2021";2111;8
"24.06.2021";2113;2
"25.06.2021";2114;1
"26.06.2021";2115;1
"27.06.2021";2117;2
"28.06.2021";2123;6
"29.06.2021";2127;4
"30.06.2021";2127;0
"01.07.2021";2130;3
"02.07.2021";2132;2
"03.07.2021";2133;1
"04.07.2021";2135;2
"05.07.2021";2137;2
"06.07.2021";2138;1
"07.07.2021";2138;0
"08.07.2021";2138;0
"09.07.2021";2141;3
"10.07.2021";2142;1
"11.07.2021";2142;0
"12.07.2021";2144;2
"13.07.2021";2144;0
"14.07.2021";2152;8
"15.07.2021";2153;1
"16.07.2021";2156;3
"17.07.2021";2157;1
"18.07.2021";2159;2
"19.07.2021";2163;4
"20.07.2021";2167;4
"21.07.2021";2173;6
"22.07.2021";2185;12
"23.07.2021";2202;17
"24.07.2021";2212;10
"25.07.2021";2215;3
"26.07.2021";2242;27
"27.07.2021";2272;30
"28.07.2021";2366;94
"29.07.2021";2415;49
"30.07.2021";2443;28
"31.07.2021";2456;13
"01.08.2021";2470;14
"02.08.2021";2507;37
"03.08.2021";2530;23
"04.08.2021";2553;23
"05.08.2021";2574;21
"06.08.2021";2600;26
"07.08.2021";2605;5
"08.08.2021";2614;9
"09.08.2021";2640;26
"10.08.2021";2663;23
"11.08.2021";2689;26
"12.08.2021";2710;21
"13.08.2021";2752;42
"14.08.2021";2777;25
"15.08.2021";2782;5
"16.08.2021";2818;36
"17.08.2021";2841;23
"18.08.2021";2868;27
"19.08.2021";2884;16
"20.08.2021";2917;33
"21.08.2021";2933;16
"22.08.2021";2940;7
"23.08.2021";2979;39
"24.08.2021";3020;41
"25.08.2021";3068;48
"26.08.2021";3117;49
"27.08.2021";3172;55
"28.08.2021";3209;37
"29.08.2021";3236;27
"30.08.2021";3313;77
"31.08.2021";3361;48
"01.09.2021";3419;58
"02.09.2021";3455;36
"03.09.2021";3505;50
"04.09.2021";3545;40
"05.09.2021";3569;24
"06.09.2021";3635;66
"07.09.2021";3686;51
"08.09.2021";3722;36
"09.09.2021";3734;12
