"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";0;0
"27.02.2020";0;0
"28.02.2020";0;0
"29.02.2020";0;0
"01.03.2020";0;0
"02.03.2020";0;0
"03.03.2020";0;0
"04.03.2020";0;0
"05.03.2020";3;3
"06.03.2020";3;0
"07.03.2020";3;0
"08.03.2020";3;0
"09.03.2020";4;1
"10.03.2020";5;1
"11.03.2020";8;3
"12.03.2020";9;1
"13.03.2020";10;1
"14.03.2020";12;2
"15.03.2020";12;0
"16.03.2020";14;2
"17.03.2020";18;4
"18.03.2020";18;0
"19.03.2020";18;0
"20.03.2020";20;2
"21.03.2020";22;2
"22.03.2020";23;1
"23.03.2020";28;5
"24.03.2020";29;1
"25.03.2020";37;8
"26.03.2020";43;6
"27.03.2020";46;3
"28.03.2020";49;3
"29.03.2020";50;1
"30.03.2020";61;11
"31.03.2020";65;4
"01.04.2020";71;6
"02.04.2020";73;2
"03.04.2020";74;1
"04.04.2020";75;1
"05.04.2020";76;1
"06.04.2020";81;5
"07.04.2020";88;7
"08.04.2020";91;3
"09.04.2020";91;0
"10.04.2020";94;3
"11.04.2020";98;4
"12.04.2020";98;0
"13.04.2020";103;5
"14.04.2020";107;4
"15.04.2020";110;3
"16.04.2020";110;0
"17.04.2020";110;0
"18.04.2020";111;1
"19.04.2020";111;0
"20.04.2020";111;0
"21.04.2020";112;1
"22.04.2020";113;1
"23.04.2020";114;1
"24.04.2020";115;1
"25.04.2020";115;0
"26.04.2020";115;0
"27.04.2020";115;0
"28.04.2020";115;0
"29.04.2020";116;1
"30.04.2020";116;0
"01.05.2020";117;1
"02.05.2020";117;0
"03.05.2020";117;0
"04.05.2020";117;0
"05.05.2020";117;0
"06.05.2020";117;0
"07.05.2020";117;0
"08.05.2020";117;0
"09.05.2020";117;0
"10.05.2020";117;0
"11.05.2020";117;0
"12.05.2020";118;1
"13.05.2020";118;0
"14.05.2020";118;0
"15.05.2020";118;0
"16.05.2020";118;0
"17.05.2020";118;0
"18.05.2020";118;0
"19.05.2020";120;2
"20.05.2020";121;1
"21.05.2020";121;0
"22.05.2020";121;0
"23.05.2020";121;0
"24.05.2020";121;0
"25.05.2020";121;0
"26.05.2020";121;0
"27.05.2020";121;0
"28.05.2020";121;0
"29.05.2020";121;0
"30.05.2020";121;0
"31.05.2020";121;0
"01.06.2020";121;0
"02.06.2020";121;0
"03.06.2020";121;0
"04.06.2020";122;1
"05.06.2020";122;0
"06.06.2020";122;0
"07.06.2020";122;0
"08.06.2020";122;0
"09.06.2020";122;0
"10.06.2020";122;0
"11.06.2020";122;0
"12.06.2020";122;0
"13.06.2020";122;0
"14.06.2020";122;0
"15.06.2020";122;0
"16.06.2020";123;1
"17.06.2020";123;0
"18.06.2020";124;1
"19.06.2020";125;1
"20.06.2020";125;0
"21.06.2020";125;0
"22.06.2020";125;0
"23.06.2020";125;0
"24.06.2020";125;0
"25.06.2020";126;1
"26.06.2020";126;0
"27.06.2020";126;0
"28.06.2020";126;0
"29.06.2020";127;1
"30.06.2020";127;0
"01.07.2020";127;0
"02.07.2020";128;1
"03.07.2020";128;0
"04.07.2020";128;0
"05.07.2020";128;0
"06.07.2020";128;0
"07.07.2020";128;0
"08.07.2020";129;1
"09.07.2020";129;0
"10.07.2020";130;1
"11.07.2020";130;0
"12.07.2020";130;0
"13.07.2020";130;0
"14.07.2020";130;0
"15.07.2020";130;0
"16.07.2020";130;0
"17.07.2020";130;0
"18.07.2020";130;0
"19.07.2020";130;0
"20.07.2020";130;0
"21.07.2020";130;0
"22.07.2020";130;0
"23.07.2020";130;0
"24.07.2020";130;0
"25.07.2020";130;0
"26.07.2020";130;0
"27.07.2020";131;1
"28.07.2020";131;0
"29.07.2020";131;0
"30.07.2020";131;0
"31.07.2020";132;1
"01.08.2020";132;0
"02.08.2020";132;0
"03.08.2020";134;2
"04.08.2020";137;3
"05.08.2020";139;2
"06.08.2020";139;0
"07.08.2020";139;0
"08.08.2020";139;0
"09.08.2020";139;0
"10.08.2020";141;2
"11.08.2020";141;0
"12.08.2020";144;3
"13.08.2020";144;0
"14.08.2020";146;2
"15.08.2020";146;0
"16.08.2020";146;0
"17.08.2020";151;5
"18.08.2020";156;5
"19.08.2020";165;9
"20.08.2020";167;2
"21.08.2020";173;6
"22.08.2020";174;1
"23.08.2020";177;3
"24.08.2020";178;1
"25.08.2020";178;0
"26.08.2020";182;4
"27.08.2020";182;0
"28.08.2020";182;0
"29.08.2020";182;0
"30.08.2020";182;0
"31.08.2020";183;1
"01.09.2020";185;2
"02.09.2020";185;0
"03.09.2020";185;0
"04.09.2020";186;1
"05.09.2020";186;0
"06.09.2020";186;0
"07.09.2020";187;1
"08.09.2020";188;1
"09.09.2020";190;2
"10.09.2020";192;2
"11.09.2020";197;5
"12.09.2020";198;1
"13.09.2020";198;0
"14.09.2020";202;4
"15.09.2020";204;2
"16.09.2020";204;0
"17.09.2020";205;1
"18.09.2020";207;2
"19.09.2020";208;1
"20.09.2020";208;0
"21.09.2020";209;1
"22.09.2020";209;0
"23.09.2020";209;0
"24.09.2020";210;1
"25.09.2020";211;1
"26.09.2020";211;0
"27.09.2020";211;0
"28.09.2020";212;1
"29.09.2020";213;1
"30.09.2020";214;1
"01.10.2020";217;3
"02.10.2020";218;1
"03.10.2020";218;0
"04.10.2020";218;0
"05.10.2020";223;5
"06.10.2020";223;0
"07.10.2020";225;2
"08.10.2020";225;0
"09.10.2020";225;0
"10.10.2020";225;0
"11.10.2020";225;0
"12.10.2020";229;4
"13.10.2020";232;3
"14.10.2020";232;0
"15.10.2020";235;3
"16.10.2020";236;1
"17.10.2020";236;0
"18.10.2020";238;2
"19.10.2020";243;5
"20.10.2020";245;2
"21.10.2020";248;3
"22.10.2020";250;2
"23.10.2020";264;14
"24.10.2020";267;3
"25.10.2020";273;6
"26.10.2020";283;10
"27.10.2020";290;7
"28.10.2020";302;12
"29.10.2020";307;5
"30.10.2020";310;3
"31.10.2020";316;6
"01.11.2020";318;2
"02.11.2020";331;13
"03.11.2020";352;21
"04.11.2020";366;14
"05.11.2020";383;17
"06.11.2020";404;21
"07.11.2020";412;8
"08.11.2020";430;18
"09.11.2020";443;13
"10.11.2020";451;8
"11.11.2020";456;5
"12.11.2020";464;8
"13.11.2020";469;5
"14.11.2020";474;5
"15.11.2020";477;3
"16.11.2020";482;5
"17.11.2020";490;8
"18.11.2020";502;12
"19.11.2020";512;10
"20.11.2020";514;2
"21.11.2020";515;1
"22.11.2020";522;7
"23.11.2020";528;6
"24.11.2020";535;7
"25.11.2020";541;6
"26.11.2020";548;7
"27.11.2020";549;1
"28.11.2020";549;0
"29.11.2020";550;1
"30.11.2020";554;4
"01.12.2020";556;2
"02.12.2020";558;2
"03.12.2020";567;9
"04.12.2020";572;5
"05.12.2020";583;11
"06.12.2020";585;2
"07.12.2020";589;4
"08.12.2020";592;3
"09.12.2020";598;6
"10.12.2020";606;8
"11.12.2020";606;0
"12.12.2020";607;1
"13.12.2020";608;1
"14.12.2020";612;4
"15.12.2020";614;2
"16.12.2020";617;3
"17.12.2020";621;4
"18.12.2020";624;3
"19.12.2020";624;0
"20.12.2020";624;0
"21.12.2020";630;6
"22.12.2020";630;0
"23.12.2020";632;2
"24.12.2020";634;2
"25.12.2020";635;1
"26.12.2020";641;6
"27.12.2020";644;3
"28.12.2020";658;14
"29.12.2020";672;14
"30.12.2020";679;7
"31.12.2020";688;9
"01.01.2021";694;6
"02.01.2021";700;6
"03.01.2021";709;9
"04.01.2021";734;25
"05.01.2021";750;16
"06.01.2021";757;7
"07.01.2021";776;19
"08.01.2021";796;20
"09.01.2021";803;7
"10.01.2021";810;7
"11.01.2021";821;11
"12.01.2021";825;4
"13.01.2021";830;5
"14.01.2021";840;10
"15.01.2021";848;8
"16.01.2021";854;6
"17.01.2021";868;14
"18.01.2021";877;9
"19.01.2021";882;5
"20.01.2021";887;5
"21.01.2021";894;7
"22.01.2021";896;2
"23.01.2021";904;8
"24.01.2021";908;4
"25.01.2021";923;15
"26.01.2021";936;13
"27.01.2021";941;5
"28.01.2021";946;5
"29.01.2021";949;3
"30.01.2021";950;1
"31.01.2021";954;4
"01.02.2021";961;7
"02.02.2021";967;6
"03.02.2021";973;6
"04.02.2021";975;2
"05.02.2021";979;4
"06.02.2021";979;0
"07.02.2021";985;6
"08.02.2021";991;6
"09.02.2021";995;4
"10.02.2021";999;4
"11.02.2021";1003;4
"12.02.2021";1009;6
"13.02.2021";1012;3
"14.02.2021";1012;0
"15.02.2021";1029;17
"16.02.2021";1031;2
"17.02.2021";1033;2
"18.02.2021";1037;4
"19.02.2021";1041;4
"20.02.2021";1042;1
"21.02.2021";1050;8
"22.02.2021";1057;7
"23.02.2021";1064;7
"24.02.2021";1079;15
"25.02.2021";1093;14
"26.02.2021";1115;22
"27.02.2021";1130;15
"28.02.2021";1145;15
"01.03.2021";1158;13
"02.03.2021";1169;11
"03.03.2021";1182;13
"04.03.2021";1194;12
"05.03.2021";1210;16
"06.03.2021";1216;6
"07.03.2021";1226;10
"08.03.2021";1238;12
"09.03.2021";1244;6
"10.03.2021";1254;10
"11.03.2021";1266;12
"12.03.2021";1282;16
"13.03.2021";1285;3
"14.03.2021";1289;4
"15.03.2021";1300;11
"16.03.2021";1318;18
"17.03.2021";1322;4
"18.03.2021";1341;19
"19.03.2021";1349;8
"20.03.2021";1352;3
"21.03.2021";1361;9
"22.03.2021";1363;2
"23.03.2021";1370;7
"24.03.2021";1373;3
"25.03.2021";1380;7
"26.03.2021";1381;1
"27.03.2021";1381;0
"28.03.2021";1382;1
"29.03.2021";1384;2
"30.03.2021";1389;5
"31.03.2021";1391;2
"01.04.2021";1396;5
"02.04.2021";1397;1
"03.04.2021";1403;6
"04.04.2021";1405;2
"05.04.2021";1408;3
"06.04.2021";1414;6
"07.04.2021";1416;2
"08.04.2021";1419;3
"09.04.2021";1423;4
"10.04.2021";1426;3
"11.04.2021";1426;0
"12.04.2021";1446;20
"13.04.2021";1450;4
"14.04.2021";1454;4
"15.04.2021";1458;4
"16.04.2021";1464;6
"17.04.2021";1464;0
"18.04.2021";1474;10
"19.04.2021";1475;1
"20.04.2021";1477;2
"21.04.2021";1480;3
"22.04.2021";1483;3
"23.04.2021";1485;2
"24.04.2021";1487;2
"25.04.2021";1489;2
"26.04.2021";1495;6
"27.04.2021";1499;4
"28.04.2021";1503;4
"29.04.2021";1503;0
"30.04.2021";1506;3
"01.05.2021";1506;0
"02.05.2021";1507;1
"03.05.2021";1515;8
"04.05.2021";1516;1
"05.05.2021";1517;1
"06.05.2021";1518;1
"07.05.2021";1519;1
"08.05.2021";1521;2
"09.05.2021";1522;1
"10.05.2021";1523;1
"11.05.2021";1526;3
"12.05.2021";1529;3
"13.05.2021";1530;1
"14.05.2021";1532;2
"15.05.2021";1543;11
"16.05.2021";1548;5
"17.05.2021";1548;0
"18.05.2021";1567;19
"19.05.2021";1569;2
"20.05.2021";1573;4
"21.05.2021";1579;6
"22.05.2021";1579;0
"23.05.2021";1583;4
"24.05.2021";1585;2
"25.05.2021";1587;2
"26.05.2021";1596;9
"27.05.2021";1600;4
"28.05.2021";1601;1
"29.05.2021";1602;1
"30.05.2021";1604;2
"31.05.2021";1609;5
"01.06.2021";1611;2
"02.06.2021";1613;2
"03.06.2021";1614;1
"04.06.2021";1617;3
"05.06.2021";1618;1
"06.06.2021";1619;1
"07.06.2021";1619;0
"08.06.2021";1621;2
"09.06.2021";1622;1
"10.06.2021";1624;2
"11.06.2021";1626;2
"12.06.2021";1626;0
"13.06.2021";1626;0
"14.06.2021";1627;1
"15.06.2021";1628;1
"16.06.2021";1629;1
"17.06.2021";1630;1
"18.06.2021";1634;4
"19.06.2021";1645;11
"20.06.2021";1648;3
"21.06.2021";1649;1
"22.06.2021";1652;3
"23.06.2021";1654;2
"24.06.2021";1658;4
"25.06.2021";1663;5
"26.06.2021";1665;2
"27.06.2021";1666;1
"28.06.2021";1671;5
"29.06.2021";1678;7
"30.06.2021";1686;8
"01.07.2021";1691;5
"02.07.2021";1700;9
"03.07.2021";1700;0
"04.07.2021";1701;1
"05.07.2021";1709;8
"06.07.2021";1711;2
"07.07.2021";1713;2
"08.07.2021";1716;3
"09.07.2021";1717;1
"10.07.2021";1717;0
"11.07.2021";1717;0
"12.07.2021";1723;6
"13.07.2021";1724;1
"14.07.2021";1726;2
"15.07.2021";1727;1
"16.07.2021";1727;0
"17.07.2021";1727;0
"18.07.2021";1729;2
"19.07.2021";1742;13
"20.07.2021";1748;6
"21.07.2021";1780;32
"22.07.2021";1795;15
"23.07.2021";1811;16
"24.07.2021";1818;7
"25.07.2021";1839;21
"26.07.2021";1851;12
"27.07.2021";1856;5
"28.07.2021";1862;6
"29.07.2021";1872;10
"30.07.2021";1881;9
"31.07.2021";1882;1
"01.08.2021";1885;3
"02.08.2021";1895;10
"03.08.2021";1911;16
"04.08.2021";1928;17
"05.08.2021";1962;34
"06.08.2021";1976;14
"07.08.2021";1990;14
"08.08.2021";2007;17
"09.08.2021";2024;17
"10.08.2021";2040;16
"11.08.2021";2053;13
"12.08.2021";2058;5
"13.08.2021";2072;14
"14.08.2021";2079;7
"15.08.2021";2079;0
"16.08.2021";2089;10
"17.08.2021";2104;15
"18.08.2021";2115;11
"19.08.2021";2125;10
"20.08.2021";2137;12
"21.08.2021";2149;12
"22.08.2021";2159;10
"23.08.2021";2187;28
"24.08.2021";2210;23
"25.08.2021";2244;34
"26.08.2021";2269;25
"27.08.2021";2295;26
"28.08.2021";2308;13
"29.08.2021";2317;9
"30.08.2021";2352;35
"31.08.2021";2384;32
"01.09.2021";2405;21
"02.09.2021";2425;20
"03.09.2021";2444;19
"04.09.2021";2456;12
"05.09.2021";2460;4
"06.09.2021";2481;21
"07.09.2021";2497;16
"08.09.2021";2502;5
"09.09.2021";2512;10
