"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";2;2
"27.02.2020";3;1
"28.02.2020";3;0
"29.02.2020";7;4
"01.03.2020";7;0
"02.03.2020";10;3
"03.03.2020";15;5
"04.03.2020";17;2
"05.03.2020";19;2
"06.03.2020";29;10
"07.03.2020";33;4
"08.03.2020";46;13
"09.03.2020";91;45
"10.03.2020";161;70
"11.03.2020";206;45
"12.03.2020";255;49
"13.03.2020";280;25
"14.03.2020";302;22
"15.03.2020";322;20
"16.03.2020";353;31
"17.03.2020";394;41
"18.03.2020";442;48
"19.03.2020";490;48
"20.03.2020";580;90
"21.03.2020";633;53
"22.03.2020";688;55
"23.03.2020";763;75
"24.03.2020";857;94
"25.03.2020";943;86
"26.03.2020";1051;108
"27.03.2020";1148;97
"28.03.2020";1201;53
"29.03.2020";1240;39
"30.03.2020";1320;80
"31.03.2020";1395;75
"01.04.2020";1463;68
"02.04.2020";1541;78
"03.04.2020";1602;61
"04.04.2020";1638;36
"05.04.2020";1665;27
"06.04.2020";1714;49
"07.04.2020";1767;53
"08.04.2020";1809;42
"09.04.2020";1858;49
"10.04.2020";1888;30
"11.04.2020";1927;39
"12.04.2020";1960;33
"13.04.2020";1992;32
"14.04.2020";2033;41
"15.04.2020";2077;44
"16.04.2020";2101;24
"17.04.2020";2138;37
"18.04.2020";2155;17
"19.04.2020";2181;26
"20.04.2020";2218;37
"21.04.2020";2248;30
"22.04.2020";2284;36
"23.04.2020";2297;13
"24.04.2020";2312;15
"25.04.2020";2321;9
"26.04.2020";2340;19
"27.04.2020";2358;18
"28.04.2020";2377;19
"29.04.2020";2389;12
"30.04.2020";2402;13
"01.05.2020";2424;22
"02.05.2020";2432;8
"03.05.2020";2454;22
"04.05.2020";2470;16
"05.05.2020";2489;19
"06.05.2020";2503;14
"07.05.2020";2514;11
"08.05.2020";2532;18
"09.05.2020";2536;4
"10.05.2020";2540;4
"11.05.2020";2548;8
"12.05.2020";2552;4
"13.05.2020";2557;5
"14.05.2020";2567;10
"15.05.2020";2572;5
"16.05.2020";2575;3
"17.05.2020";2576;1
"18.05.2020";2581;5
"19.05.2020";2586;5
"20.05.2020";2592;6
"21.05.2020";2603;11
"22.05.2020";2614;11
"23.05.2020";2620;6
"24.05.2020";2623;3
"25.05.2020";2628;5
"26.05.2020";2630;2
"27.05.2020";2636;6
"28.05.2020";2642;6
"29.05.2020";2645;3
"30.05.2020";2645;0
"31.05.2020";2647;2
"01.06.2020";2651;4
"02.06.2020";2675;24
"03.06.2020";2680;5
"04.06.2020";2695;15
"05.06.2020";2716;21
"06.06.2020";2722;6
"07.06.2020";2730;8
"08.06.2020";2735;5
"09.06.2020";2743;8
"10.06.2020";2756;13
"11.06.2020";2762;6
"12.06.2020";2768;6
"13.06.2020";2772;4
"14.06.2020";2778;6
"15.06.2020";2785;7
"16.06.2020";2808;23
"17.06.2020";2812;4
"18.06.2020";2819;7
"19.06.2020";2826;7
"20.06.2020";2831;5
"21.06.2020";2833;2
"22.06.2020";2841;8
"23.06.2020";2847;6
"24.06.2020";2853;6
"25.06.2020";2858;5
"26.06.2020";2863;5
"27.06.2020";2870;7
"28.06.2020";2871;1
"29.06.2020";2877;6
"30.06.2020";2883;6
"01.07.2020";2886;3
"02.07.2020";2889;3
"03.07.2020";2893;4
"04.07.2020";2894;1
"05.07.2020";2894;0
"06.07.2020";2895;1
"07.07.2020";2898;3
"08.07.2020";2903;5
"09.07.2020";2907;4
"10.07.2020";2911;4
"11.07.2020";2915;4
"12.07.2020";2915;0
"13.07.2020";2921;6
"14.07.2020";2924;3
"15.07.2020";2928;4
"16.07.2020";2930;2
"17.07.2020";2935;5
"18.07.2020";2936;1
"19.07.2020";2939;3
"20.07.2020";2944;5
"21.07.2020";2946;2
"22.07.2020";2949;3
"23.07.2020";2951;2
"24.07.2020";2956;5
"25.07.2020";2960;4
"26.07.2020";2960;0
"27.07.2020";2967;7
"28.07.2020";2972;5
"29.07.2020";2979;7
"30.07.2020";2988;9
"31.07.2020";3002;14
"01.08.2020";3004;2
"02.08.2020";3011;7
"03.08.2020";3023;12
"04.08.2020";3039;16
"05.08.2020";3064;25
"06.08.2020";3087;23
"07.08.2020";3112;25
"08.08.2020";3123;11
"09.08.2020";3132;9
"10.08.2020";3147;15
"11.08.2020";3157;10
"12.08.2020";3173;16
"13.08.2020";3194;21
"14.08.2020";3217;23
"15.08.2020";3236;19
"16.08.2020";3243;7
"17.08.2020";3260;17
"18.08.2020";3283;23
"19.08.2020";3303;20
"20.08.2020";3319;16
"21.08.2020";3335;16
"22.08.2020";3348;13
"23.08.2020";3357;9
"24.08.2020";3385;28
"25.08.2020";3405;20
"26.08.2020";3415;10
"27.08.2020";3431;16
"28.08.2020";3456;25
"29.08.2020";3468;12
"30.08.2020";3479;11
"31.08.2020";3506;27
"01.09.2020";3532;26
"02.09.2020";3555;23
"03.09.2020";3572;17
"04.09.2020";3591;19
"05.09.2020";3609;18
"06.09.2020";3623;14
"07.09.2020";3655;32
"08.09.2020";3689;34
"09.09.2020";3721;32
"10.09.2020";3766;45
"11.09.2020";3796;30
"12.09.2020";3821;25
"13.09.2020";3845;24
"14.09.2020";3881;36
"15.09.2020";3940;59
"16.09.2020";3993;53
"17.09.2020";4045;52
"18.09.2020";4084;39
"19.09.2020";4102;18
"20.09.2020";4128;26
"21.09.2020";4186;58
"22.09.2020";4234;48
"23.09.2020";4289;55
"24.09.2020";4334;45
"25.09.2020";4384;50
"26.09.2020";4413;29
"27.09.2020";4444;31
"28.09.2020";4488;44
"29.09.2020";4530;42
"30.09.2020";4569;39
"01.10.2020";4611;42
"02.10.2020";4658;47
"03.10.2020";4692;34
"04.10.2020";4732;40
"05.10.2020";4788;56
"06.10.2020";4853;65
"07.10.2020";4922;69
"08.10.2020";4984;62
"09.10.2020";5040;56
"10.10.2020";5063;23
"11.10.2020";5092;29
"12.10.2020";5126;34
"13.10.2020";5180;54
"14.10.2020";5240;60
"15.10.2020";5279;39
"16.10.2020";5334;55
"17.10.2020";5366;32
"18.10.2020";5394;28
"19.10.2020";5449;55
"20.10.2020";5506;57
"21.10.2020";5568;62
"22.10.2020";5653;85
"23.10.2020";5746;93
"24.10.2020";5819;73
"25.10.2020";5864;45
"26.10.2020";5967;103
"27.10.2020";6091;124
"28.10.2020";6212;121
"29.10.2020";6334;122
"30.10.2020";6503;169
"31.10.2020";6603;100
"01.11.2020";6684;81
"02.11.2020";6807;123
"03.11.2020";6990;183
"04.11.2020";7150;160
"05.11.2020";7294;144
"06.11.2020";7445;151
"07.11.2020";7554;109
"08.11.2020";7666;112
"09.11.2020";7806;140
"10.11.2020";7987;181
"11.11.2020";8159;172
"12.11.2020";8354;195
"13.11.2020";8564;210
"14.11.2020";8686;122
"15.11.2020";8830;144
"16.11.2020";9057;227
"17.11.2020";9259;202
"18.11.2020";9476;217
"19.11.2020";9634;158
"20.11.2020";9800;166
"21.11.2020";9899;99
"22.11.2020";10013;114
"23.11.2020";10179;166
"24.11.2020";10311;132
"25.11.2020";10451;140
"26.11.2020";10611;160
"27.11.2020";10745;134
"28.11.2020";10817;72
"29.11.2020";10887;70
"30.11.2020";10988;101
"01.12.2020";11105;117
"02.12.2020";11234;129
"03.12.2020";11322;88
"04.12.2020";11418;96
"05.12.2020";11488;70
"06.12.2020";11567;79
"07.12.2020";11695;128
"08.12.2020";11818;123
"09.12.2020";11916;98
"10.12.2020";12037;121
"11.12.2020";12123;86
"12.12.2020";12187;64
"13.12.2020";12261;74
"14.12.2020";12334;73
"15.12.2020";12449;115
"16.12.2020";12570;121
"17.12.2020";12670;100
"18.12.2020";12747;77
"19.12.2020";12830;83
"20.12.2020";12901;71
"21.12.2020";13002;101
"22.12.2020";13113;111
"23.12.2020";13220;107
"24.12.2020";13281;61
"25.12.2020";13343;62
"26.12.2020";13435;92
"27.12.2020";13538;103
"28.12.2020";13669;131
"29.12.2020";13809;140
"30.12.2020";13939;130
"31.12.2020";14030;91
"01.01.2021";14145;115
"02.01.2021";14278;133
"03.01.2021";14380;102
"04.01.2021";14575;195
"05.01.2021";14763;188
"06.01.2021";14917;154
"07.01.2021";15073;156
"08.01.2021";15217;144
"09.01.2021";15315;98
"10.01.2021";15410;95
"11.01.2021";15544;134
"12.01.2021";15705;161
"13.01.2021";15817;112
"14.01.2021";15938;121
"15.01.2021";16028;90
"16.01.2021";16112;84
"17.01.2021";16169;57
"18.01.2021";16293;124
"19.01.2021";16376;83
"20.01.2021";16477;101
"21.01.2021";16568;91
"22.01.2021";16678;110
"23.01.2021";16744;66
"24.01.2021";16809;65
"25.01.2021";16934;125
"26.01.2021";17014;80
"27.01.2021";17107;93
"28.01.2021";17189;82
"29.01.2021";17257;68
"30.01.2021";17308;51
"31.01.2021";17368;60
"01.02.2021";17430;62
"02.02.2021";17512;82
"03.02.2021";17573;61
"04.02.2021";17622;49
"05.02.2021";17679;57
"06.02.2021";17731;52
"07.02.2021";17760;29
"08.02.2021";17838;78
"09.02.2021";17936;98
"10.02.2021";18014;78
"11.02.2021";18090;76
"12.02.2021";18145;55
"13.02.2021";18204;59
"14.02.2021";18273;69
"15.02.2021";18381;108
"16.02.2021";18510;129
"17.02.2021";18623;113
"18.02.2021";18730;107
"19.02.2021";18859;129
"20.02.2021";18969;110
"21.02.2021";19049;80
"22.02.2021";19198;149
"23.02.2021";19389;191
"24.02.2021";19558;169
"25.02.2021";19749;191
"26.02.2021";19932;183
"27.02.2021";20090;158
"28.02.2021";20241;151
"01.03.2021";20412;171
"02.03.2021";20654;242
"03.03.2021";20887;233
"04.03.2021";21086;199
"05.03.2021";21339;253
"06.03.2021";21523;184
"07.03.2021";21726;203
"08.03.2021";22037;311
"09.03.2021";22336;299
"10.03.2021";22660;324
"11.03.2021";22925;265
"12.03.2021";23244;319
"13.03.2021";23534;290
"14.03.2021";23772;238
"15.03.2021";24161;389
"16.03.2021";24521;360
"17.03.2021";24905;384
"18.03.2021";25244;339
"19.03.2021";25581;337
"20.03.2021";25846;265
"21.03.2021";26070;224
"22.03.2021";26425;355
"23.03.2021";26708;283
"24.03.2021";27033;325
"25.03.2021";27316;283
"26.03.2021";27601;285
"27.03.2021";27788;187
"28.03.2021";27925;137
"29.03.2021";28185;260
"30.03.2021";28476;291
"31.03.2021";28730;254
"01.04.2021";28929;199
"02.04.2021";29155;226
"03.04.2021";29332;177
"04.04.2021";29579;247
"05.04.2021";29832;253
"06.04.2021";30117;285
"07.04.2021";30347;230
"08.04.2021";30560;213
"09.04.2021";30765;205
"10.04.2021";30908;143
"11.04.2021";31026;118
"12.04.2021";31212;186
"13.04.2021";31390;178
"14.04.2021";31549;159
"15.04.2021";31731;182
"16.04.2021";31902;171
"17.04.2021";32001;99
"18.04.2021";32122;121
"19.04.2021";32273;151
"20.04.2021";32418;145
"21.04.2021";32574;156
"22.04.2021";32702;128
"23.04.2021";32832;130
"24.04.2021";32925;93
"25.04.2021";33017;92
"26.04.2021";33136;119
"27.04.2021";33266;130
"28.04.2021";33373;107
"29.04.2021";33495;122
"30.04.2021";33611;116
"01.05.2021";33685;74
"02.05.2021";33790;105
"03.05.2021";33903;113
"04.05.2021";34019;116
"05.05.2021";34151;132
"06.05.2021";34247;96
"07.05.2021";34340;93
"08.05.2021";34418;78
"09.05.2021";34508;90
"10.05.2021";34597;89
"11.05.2021";34692;95
"12.05.2021";34759;67
"13.05.2021";34810;51
"14.05.2021";34895;85
"15.05.2021";34952;57
"16.05.2021";34995;43
"17.05.2021";35039;44
"18.05.2021";35129;90
"19.05.2021";35210;81
"20.05.2021";35282;72
"21.05.2021";35365;83
"22.05.2021";35418;53
"23.05.2021";35442;24
"24.05.2021";35486;44
"25.05.2021";35550;64
"26.05.2021";35593;43
"27.05.2021";35651;58
"28.05.2021";35696;45
"29.05.2021";35721;25
"30.05.2021";35753;32
"31.05.2021";35857;104
"01.06.2021";36013;156
"02.06.2021";36116;103
"03.06.2021";36199;83
"04.06.2021";36289;90
"05.06.2021";36342;53
"06.06.2021";36389;47
"07.06.2021";36455;66
"08.06.2021";36510;55
"09.06.2021";36553;43
"10.06.2021";36586;33
"11.06.2021";36606;20
"12.06.2021";36624;18
"13.06.2021";36648;24
"14.06.2021";36677;29
"15.06.2021";36712;35
"16.06.2021";36746;34
"17.06.2021";36784;38
"18.06.2021";36826;42
"19.06.2021";36863;37
"20.06.2021";36894;31
"21.06.2021";36935;41
"22.06.2021";36973;38
"23.06.2021";36998;25
"24.06.2021";37017;19
"25.06.2021";37042;25
"26.06.2021";37057;15
"27.06.2021";37072;15
"28.06.2021";37098;26
"29.06.2021";37122;24
"30.06.2021";37148;26
"01.07.2021";37165;17
"02.07.2021";37181;16
"03.07.2021";37192;11
"04.07.2021";37212;20
"05.07.2021";37239;27
"06.07.2021";37280;41
"07.07.2021";37315;35
"08.07.2021";37347;32
"09.07.2021";37376;29
"10.07.2021";37391;15
"11.07.2021";37411;20
"12.07.2021";37437;26
"13.07.2021";37467;30
"14.07.2021";37500;33
"15.07.2021";37538;38
"16.07.2021";37584;46
"17.07.2021";37599;15
"18.07.2021";37620;21
"19.07.2021";37662;42
"20.07.2021";37684;22
"21.07.2021";37714;30
"22.07.2021";37745;31
"23.07.2021";37778;33
"24.07.2021";37799;21
"25.07.2021";37828;29
"26.07.2021";37869;41
"27.07.2021";37913;44
"28.07.2021";37967;54
"29.07.2021";38017;50
"30.07.2021";38076;59
"31.07.2021";38135;59
"01.08.2021";38188;53
"02.08.2021";38273;85
"03.08.2021";38354;81
"04.08.2021";38432;78
"05.08.2021";38510;78
"06.08.2021";38600;90
"07.08.2021";38654;54
"08.08.2021";38734;80
"09.08.2021";38849;115
"10.08.2021";38969;120
"11.08.2021";39104;135
"12.08.2021";39214;110
"13.08.2021";39340;126
"14.08.2021";39440;100
"15.08.2021";39534;94
"16.08.2021";39626;92
"17.08.2021";39776;150
"18.08.2021";39923;147
"19.08.2021";40083;160
"20.08.2021";40239;156
"21.08.2021";40417;178
"22.08.2021";40573;156
"23.08.2021";40858;285
"24.08.2021";41208;350
"25.08.2021";41576;368
"26.08.2021";41954;378
"27.08.2021";42352;398
"28.08.2021";42677;325
"29.08.2021";42996;319
"30.08.2021";43555;559
"31.08.2021";44094;539
"01.09.2021";44553;459
"02.09.2021";45041;488
"03.09.2021";45503;462
"04.09.2021";45882;379
"05.09.2021";46216;334
"06.09.2021";46730;514
"07.09.2021";47145;415
"08.09.2021";47541;396
"09.09.2021";47659;118
