"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";0;0
"27.02.2020";0;0
"28.02.2020";0;0
"29.02.2020";2;2
"01.03.2020";2;0
"02.03.2020";4;2
"03.03.2020";6;2
"04.03.2020";9;3
"05.03.2020";13;4
"06.03.2020";16;3
"07.03.2020";20;4
"08.03.2020";31;11
"09.03.2020";71;40
"10.03.2020";105;34
"11.03.2020";133;28
"12.03.2020";152;19
"13.03.2020";163;11
"14.03.2020";165;2
"15.03.2020";171;6
"16.03.2020";186;15
"17.03.2020";202;16
"18.03.2020";219;17
"19.03.2020";242;23
"20.03.2020";266;24
"21.03.2020";273;7
"22.03.2020";276;3
"23.03.2020";294;18
"24.03.2020";308;14
"25.03.2020";315;7
"26.03.2020";325;10
"27.03.2020";333;8
"28.03.2020";344;11
"29.03.2020";348;4
"30.03.2020";357;9
"31.03.2020";360;3
"01.04.2020";366;6
"02.04.2020";373;7
"03.04.2020";375;2
"04.04.2020";377;2
"05.04.2020";378;1
"06.04.2020";380;2
"07.04.2020";384;4
"08.04.2020";385;1
"09.04.2020";385;0
"10.04.2020";386;1
"11.04.2020";386;0
"12.04.2020";387;1
"13.04.2020";388;1
"14.04.2020";389;1
"15.04.2020";390;1
"16.04.2020";392;2
"17.04.2020";393;1
"18.04.2020";393;0
"19.04.2020";393;0
"20.04.2020";396;3
"21.04.2020";398;2
"22.04.2020";398;0
"23.04.2020";420;22
"24.04.2020";420;0
"25.04.2020";420;0
"26.04.2020";420;0
"27.04.2020";428;8
"28.04.2020";428;0
"29.04.2020";432;4
"30.04.2020";432;0
"01.05.2020";432;0
"02.05.2020";432;0
"03.05.2020";432;0
"04.05.2020";433;1
"05.05.2020";433;0
"06.05.2020";434;1
"07.05.2020";434;0
"08.05.2020";434;0
"09.05.2020";434;0
"10.05.2020";434;0
"11.05.2020";434;0
"12.05.2020";435;1
"13.05.2020";435;0
"14.05.2020";435;0
"15.05.2020";435;0
"16.05.2020";435;0
"17.05.2020";435;0
"18.05.2020";435;0
"19.05.2020";435;0
"20.05.2020";435;0
"21.05.2020";435;0
"22.05.2020";435;0
"23.05.2020";435;0
"24.05.2020";435;0
"25.05.2020";435;0
"26.05.2020";435;0
"27.05.2020";435;0
"28.05.2020";436;1
"29.05.2020";436;0
"30.05.2020";436;0
"31.05.2020";436;0
"01.06.2020";436;0
"02.06.2020";437;1
"03.06.2020";438;1
"04.06.2020";438;0
"05.06.2020";439;1
"06.06.2020";439;0
"07.06.2020";439;0
"08.06.2020";440;1
"09.06.2020";440;0
"10.06.2020";440;0
"11.06.2020";440;0
"12.06.2020";440;0
"13.06.2020";440;0
"14.06.2020";440;0
"15.06.2020";440;0
"16.06.2020";440;0
"17.06.2020";441;1
"18.06.2020";441;0
"19.06.2020";441;0
"20.06.2020";441;0
"21.06.2020";441;0
"22.06.2020";441;0
"23.06.2020";441;0
"24.06.2020";441;0
"25.06.2020";442;1
"26.06.2020";442;0
"27.06.2020";442;0
"28.06.2020";442;0
"29.06.2020";442;0
"30.06.2020";443;1
"01.07.2020";443;0
"02.07.2020";443;0
"03.07.2020";443;0
"04.07.2020";443;0
"05.07.2020";443;0
"06.07.2020";443;0
"07.07.2020";443;0
"08.07.2020";443;0
"09.07.2020";444;1
"10.07.2020";444;0
"11.07.2020";444;0
"12.07.2020";447;3
"13.07.2020";449;2
"14.07.2020";449;0
"15.07.2020";449;0
"16.07.2020";449;0
"17.07.2020";450;1
"18.07.2020";450;0
"19.07.2020";450;0
"20.07.2020";451;1
"21.07.2020";452;1
"22.07.2020";452;0
"23.07.2020";453;1
"24.07.2020";455;2
"25.07.2020";456;1
"26.07.2020";456;0
"27.07.2020";459;3
"28.07.2020";461;2
"29.07.2020";464;3
"30.07.2020";465;1
"31.07.2020";470;5
"01.08.2020";471;1
"02.08.2020";471;0
"03.08.2020";475;4
"04.08.2020";475;0
"05.08.2020";478;3
"06.08.2020";484;6
"07.08.2020";485;1
"08.08.2020";486;1
"09.08.2020";488;2
"10.08.2020";493;5
"11.08.2020";497;4
"12.08.2020";502;5
"13.08.2020";502;0
"14.08.2020";504;2
"15.08.2020";505;1
"16.08.2020";507;2
"17.08.2020";510;3
"18.08.2020";512;2
"19.08.2020";512;0
"20.08.2020";514;2
"21.08.2020";517;3
"22.08.2020";520;3
"23.08.2020";521;1
"24.08.2020";521;0
"25.08.2020";522;1
"26.08.2020";524;2
"27.08.2020";526;2
"28.08.2020";528;2
"29.08.2020";528;0
"30.08.2020";532;4
"31.08.2020";538;6
"01.09.2020";542;4
"02.09.2020";546;4
"03.09.2020";551;5
"04.09.2020";553;2
"05.09.2020";557;4
"06.09.2020";560;3
"07.09.2020";566;6
"08.09.2020";570;4
"09.09.2020";573;3
"10.09.2020";574;1
"11.09.2020";576;2
"12.09.2020";577;1
"13.09.2020";585;8
"14.09.2020";591;6
"15.09.2020";596;5
"16.09.2020";598;2
"17.09.2020";601;3
"18.09.2020";604;3
"19.09.2020";612;8
"20.09.2020";628;16
"21.09.2020";665;37
"22.09.2020";669;4
"23.09.2020";681;12
"24.09.2020";692;11
"25.09.2020";695;3
"26.09.2020";697;2
"27.09.2020";698;1
"28.09.2020";705;7
"29.09.2020";713;8
"30.09.2020";719;6
"01.10.2020";722;3
"02.10.2020";728;6
"03.10.2020";731;3
"04.10.2020";744;13
"05.10.2020";763;19
"06.10.2020";778;15
"07.10.2020";787;9
"08.10.2020";788;1
"09.10.2020";792;4
"10.10.2020";792;0
"11.10.2020";796;4
"12.10.2020";799;3
"13.10.2020";810;11
"14.10.2020";818;8
"15.10.2020";820;2
"16.10.2020";824;4
"17.10.2020";828;4
"18.10.2020";835;7
"19.10.2020";849;14
"20.10.2020";865;16
"21.10.2020";876;11
"22.10.2020";892;16
"23.10.2020";905;13
"24.10.2020";913;8
"25.10.2020";923;10
"26.10.2020";959;36
"27.10.2020";977;18
"28.10.2020";1002;25
"29.10.2020";1018;16
"30.10.2020";1053;35
"31.10.2020";1065;12
"01.11.2020";1092;27
"02.11.2020";1109;17
"03.11.2020";1133;24
"04.11.2020";1166;33
"05.11.2020";1195;29
"06.11.2020";1212;17
"07.11.2020";1220;8
"08.11.2020";1231;11
"09.11.2020";1261;30
"10.11.2020";1294;33
"11.11.2020";1314;20
"12.11.2020";1341;27
"13.11.2020";1366;25
"14.11.2020";1382;16
"15.11.2020";1391;9
"16.11.2020";1429;38
"17.11.2020";1449;20
"18.11.2020";1461;12
"19.11.2020";1477;16
"20.11.2020";1490;13
"21.11.2020";1497;7
"22.11.2020";1507;10
"23.11.2020";1522;15
"24.11.2020";1526;4
"25.11.2020";1534;8
"26.11.2020";1548;14
"27.11.2020";1553;5
"28.11.2020";1560;7
"29.11.2020";1565;5
"30.11.2020";1576;11
"01.12.2020";1586;10
"02.12.2020";1590;4
"03.12.2020";1593;3
"04.12.2020";1597;4
"05.12.2020";1599;2
"06.12.2020";1602;3
"07.12.2020";1603;1
"08.12.2020";1608;5
"09.12.2020";1621;13
"10.12.2020";1627;6
"11.12.2020";1637;10
"12.12.2020";1647;10
"13.12.2020";1659;12
"14.12.2020";1684;25
"15.12.2020";1694;10
"16.12.2020";1706;12
"17.12.2020";1711;5
"18.12.2020";1723;12
"19.12.2020";1746;23
"20.12.2020";1758;12
"21.12.2020";1784;26
"22.12.2020";1828;44
"23.12.2020";1869;41
"24.12.2020";1896;27
"25.12.2020";1940;44
"26.12.2020";1998;58
"27.12.2020";2055;57
"28.12.2020";2125;70
"29.12.2020";2215;90
"30.12.2020";2295;80
"31.12.2020";2341;46
"01.01.2021";2382;41
"02.01.2021";2442;60
"03.01.2021";2492;50
"04.01.2021";2589;97
"05.01.2021";2670;81
"06.01.2021";2743;73
"07.01.2021";2819;76
"08.01.2021";2891;72
"09.01.2021";2952;61
"10.01.2021";3026;74
"11.01.2021";3075;49
"12.01.2021";3118;43
"13.01.2021";3151;33
"14.01.2021";3181;30
"15.01.2021";3213;32
"16.01.2021";3240;27
"17.01.2021";3273;33
"18.01.2021";3301;28
"19.01.2021";3337;36
"20.01.2021";3357;20
"21.01.2021";3376;19
"22.01.2021";3384;8
"23.01.2021";3391;7
"24.01.2021";3403;12
"25.01.2021";3409;6
"26.01.2021";3419;10
"27.01.2021";3424;5
"28.01.2021";3432;8
"29.01.2021";3437;5
"30.01.2021";3441;4
"31.01.2021";3445;4
"01.02.2021";3447;2
"02.02.2021";3450;3
"03.02.2021";3452;2
"04.02.2021";3452;0
"05.02.2021";3456;4
"06.02.2021";3456;0
"07.02.2021";3456;0
"08.02.2021";3458;2
"09.02.2021";3460;2
"10.02.2021";3464;4
"11.02.2021";3465;1
"12.02.2021";3475;10
"13.02.2021";3475;0
"14.02.2021";3475;0
"15.02.2021";3481;6
"16.02.2021";3484;3
"17.02.2021";3489;5
"18.02.2021";3493;4
"19.02.2021";3497;4
"20.02.2021";3504;7
"21.02.2021";3507;3
"22.02.2021";3519;12
"23.02.2021";3534;15
"24.02.2021";3546;12
"25.02.2021";3569;23
"26.02.2021";3575;6
"27.02.2021";3579;4
"28.02.2021";3588;9
"01.03.2021";3595;7
"02.03.2021";3603;8
"03.03.2021";3613;10
"04.03.2021";3623;10
"05.03.2021";3648;25
"06.03.2021";3662;14
"07.03.2021";3690;28
"08.03.2021";3715;25
"09.03.2021";3756;41
"10.03.2021";3790;34
"11.03.2021";3840;50
"12.03.2021";3902;62
"13.03.2021";3954;52
"14.03.2021";3987;33
"15.03.2021";4067;80
"16.03.2021";4139;72
"17.03.2021";4195;56
"18.03.2021";4250;55
"19.03.2021";4316;66
"20.03.2021";4373;57
"21.03.2021";4428;55
"22.03.2021";4505;77
"23.03.2021";4592;87
"24.03.2021";4643;51
"25.03.2021";4693;50
"26.03.2021";4734;41
"27.03.2021";4783;49
"28.03.2021";4810;27
"29.03.2021";4845;35
"30.03.2021";4907;62
"31.03.2021";4945;38
"01.04.2021";4980;35
"02.04.2021";5024;44
"03.04.2021";5054;30
"04.04.2021";5083;29
"05.04.2021";5124;41
"06.04.2021";5161;37
"07.04.2021";5197;36
"08.04.2021";5251;54
"09.04.2021";5294;43
"10.04.2021";5344;50
"11.04.2021";5404;60
"12.04.2021";5476;72
"13.04.2021";5535;59
"14.04.2021";5596;61
"15.04.2021";5634;38
"16.04.2021";5690;56
"17.04.2021";5732;42
"18.04.2021";5766;34
"19.04.2021";5811;45
"20.04.2021";5838;27
"21.04.2021";5882;44
"22.04.2021";5909;27
"23.04.2021";5930;21
"24.04.2021";5943;13
"25.04.2021";5955;12
"26.04.2021";5978;23
"27.04.2021";5989;11
"28.04.2021";6004;15
"29.04.2021";6014;10
"30.04.2021";6031;17
"01.05.2021";6037;6
"02.05.2021";6041;4
"03.05.2021";6059;18
"04.05.2021";6106;47
"05.05.2021";6141;35
"06.05.2021";6187;46
"07.05.2021";6199;12
"08.05.2021";6216;17
"09.05.2021";6245;29
"10.05.2021";6265;20
"11.05.2021";6292;27
"12.05.2021";6309;17
"13.05.2021";6324;15
"14.05.2021";6332;8
"15.05.2021";6341;9
"16.05.2021";6347;6
"17.05.2021";6351;4
"18.05.2021";6380;29
"19.05.2021";6413;33
"20.05.2021";6440;27
"21.05.2021";6464;24
"22.05.2021";6474;10
"23.05.2021";6483;9
"24.05.2021";6498;15
"25.05.2021";6533;35
"26.05.2021";6549;16
"27.05.2021";6560;11
"28.05.2021";6568;8
"29.05.2021";6574;6
"30.05.2021";6586;12
"31.05.2021";6595;9
"01.06.2021";6611;16
"02.06.2021";6630;19
"03.06.2021";6647;17
"04.06.2021";6663;16
"05.06.2021";6673;10
"06.06.2021";6689;16
"07.06.2021";6697;8
"08.06.2021";6714;17
"09.06.2021";6733;19
"10.06.2021";6746;13
"11.06.2021";6761;15
"12.06.2021";6772;11
"13.06.2021";6785;13
"14.06.2021";6820;35
"15.06.2021";6856;36
"16.06.2021";6894;38
"17.06.2021";6955;61
"18.06.2021";6984;29
"19.06.2021";7021;37
"20.06.2021";7045;24
"21.06.2021";7080;35
"22.06.2021";7138;58
"23.06.2021";7201;63
"24.06.2021";7241;40
"25.06.2021";7283;42
"26.06.2021";7316;33
"27.06.2021";7342;26
"28.06.2021";7370;28
"29.06.2021";7403;33
"30.06.2021";7478;75
"01.07.2021";7516;38
"02.07.2021";7536;20
"03.07.2021";7565;29
"04.07.2021";7591;26
"05.07.2021";7610;19
"06.07.2021";7639;29
"07.07.2021";7667;28
"08.07.2021";7692;25
"09.07.2021";7719;27
"10.07.2021";7732;13
"11.07.2021";7745;13
"12.07.2021";7757;12
"13.07.2021";7770;13
"14.07.2021";7782;12
"15.07.2021";7800;18
"16.07.2021";7818;18
"17.07.2021";7830;12
"18.07.2021";7846;16
"19.07.2021";7856;10
"20.07.2021";7871;15
"21.07.2021";7879;8
"22.07.2021";7888;9
"23.07.2021";7905;17
"24.07.2021";7932;27
"25.07.2021";7945;13
"26.07.2021";7971;26
"27.07.2021";7997;26
"28.07.2021";8017;20
"29.07.2021";8031;14
"30.07.2021";8051;20
"31.07.2021";8060;9
"01.08.2021";8077;17
"02.08.2021";8111;34
"03.08.2021";8148;37
"04.08.2021";8173;25
"05.08.2021";8204;31
"06.08.2021";8228;24
"07.08.2021";8255;27
"08.08.2021";8280;25
"09.08.2021";8331;51
"10.08.2021";8366;35
"11.08.2021";8409;43
"12.08.2021";8443;34
"13.08.2021";8473;30
"14.08.2021";8508;35
"15.08.2021";8541;33
"16.08.2021";8600;59
"17.08.2021";8649;49
"18.08.2021";8689;40
"19.08.2021";8728;39
"20.08.2021";8783;55
"21.08.2021";8823;40
"22.08.2021";8860;37
"23.08.2021";8924;64
"24.08.2021";8999;75
"25.08.2021";9093;94
"26.08.2021";9174;81
"27.08.2021";9256;82
"28.08.2021";9315;59
"29.08.2021";9376;61
"30.08.2021";9452;76
"31.08.2021";9501;49
"01.09.2021";9557;56
"02.09.2021";9635;78
"03.09.2021";9706;71
"04.09.2021";9735;29
"05.09.2021";9761;26
"06.09.2021";9811;50
"07.09.2021";9843;32
"08.09.2021";9889;46
"09.09.2021";9902;13
