"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";0;0
"27.02.2020";1;1
"28.02.2020";6;5
"29.02.2020";6;0
"01.03.2020";10;4
"02.03.2020";13;3
"03.03.2020";19;6
"04.03.2020";24;5
"05.03.2020";28;4
"06.03.2020";30;2
"07.03.2020";30;0
"08.03.2020";31;1
"09.03.2020";52;21
"10.03.2020";70;18
"11.03.2020";86;16
"12.03.2020";113;27
"13.03.2020";129;16
"14.03.2020";135;6
"15.03.2020";151;16
"16.03.2020";176;25
"17.03.2020";195;19
"18.03.2020";217;22
"19.03.2020";253;36
"20.03.2020";289;36
"21.03.2020";305;16
"22.03.2020";313;8
"23.03.2020";352;39
"24.03.2020";383;31
"25.03.2020";416;33
"26.03.2020";444;28
"27.03.2020";466;22
"28.03.2020";480;14
"29.03.2020";482;2
"30.03.2020";509;27
"31.03.2020";525;16
"01.04.2020";538;13
"02.04.2020";559;21
"03.04.2020";580;21
"04.04.2020";585;5
"05.04.2020";588;3
"06.04.2020";620;32
"07.04.2020";634;14
"08.04.2020";650;16
"09.04.2020";670;20
"10.04.2020";672;2
"11.04.2020";706;34
"12.04.2020";713;7
"13.04.2020";721;8
"14.04.2020";756;35
"15.04.2020";772;16
"16.04.2020";787;15
"17.04.2020";797;10
"18.04.2020";804;7
"19.04.2020";805;1
"20.04.2020";811;6
"21.04.2020";822;11
"22.04.2020";828;6
"23.04.2020";831;3
"24.04.2020";838;7
"25.04.2020";841;3
"26.04.2020";842;1
"27.04.2020";853;11
"28.04.2020";857;4
"29.04.2020";860;3
"30.04.2020";864;4
"01.05.2020";865;1
"02.05.2020";868;3
"03.05.2020";870;2
"04.05.2020";870;0
"05.05.2020";872;2
"06.05.2020";873;1
"07.05.2020";874;1
"08.05.2020";875;1
"09.05.2020";876;1
"10.05.2020";876;0
"11.05.2020";877;1
"12.05.2020";877;0
"13.05.2020";877;0
"14.05.2020";877;0
"15.05.2020";877;0
"16.05.2020";877;0
"17.05.2020";877;0
"18.05.2020";878;1
"19.05.2020";879;1
"20.05.2020";879;0
"21.05.2020";879;0
"22.05.2020";880;1
"23.05.2020";880;0
"24.05.2020";880;0
"25.05.2020";880;0
"26.05.2020";880;0
"27.05.2020";880;0
"28.05.2020";880;0
"29.05.2020";880;0
"30.05.2020";880;0
"31.05.2020";880;0
"01.06.2020";880;0
"02.06.2020";881;1
"03.06.2020";882;1
"04.06.2020";882;0
"05.06.2020";883;1
"06.06.2020";883;0
"07.06.2020";883;0
"08.06.2020";885;2
"09.06.2020";885;0
"10.06.2020";885;0
"11.06.2020";885;0
"12.06.2020";885;0
"13.06.2020";885;0
"14.06.2020";885;0
"15.06.2020";885;0
"16.06.2020";885;0
"17.06.2020";887;2
"18.06.2020";887;0
"19.06.2020";887;0
"20.06.2020";887;0
"21.06.2020";887;0
"22.06.2020";890;3
"23.06.2020";890;0
"24.06.2020";890;0
"25.06.2020";891;1
"26.06.2020";891;0
"27.06.2020";891;0
"28.06.2020";891;0
"29.06.2020";893;2
"30.06.2020";894;1
"01.07.2020";895;1
"02.07.2020";895;0
"03.07.2020";895;0
"04.07.2020";895;0
"05.07.2020";895;0
"06.07.2020";895;0
"07.07.2020";895;0
"08.07.2020";895;0
"09.07.2020";897;2
"10.07.2020";897;0
"11.07.2020";897;0
"12.07.2020";897;0
"13.07.2020";897;0
"14.07.2020";897;0
"15.07.2020";897;0
"16.07.2020";897;0
"17.07.2020";900;3
"18.07.2020";900;0
"19.07.2020";900;0
"20.07.2020";900;0
"21.07.2020";901;1
"22.07.2020";903;2
"23.07.2020";903;0
"24.07.2020";904;1
"25.07.2020";904;0
"26.07.2020";904;0
"27.07.2020";905;1
"28.07.2020";907;2
"29.07.2020";919;12
"30.07.2020";924;5
"31.07.2020";930;6
"01.08.2020";931;1
"02.08.2020";932;1
"03.08.2020";934;2
"04.08.2020";934;0
"05.08.2020";938;4
"06.08.2020";944;6
"07.08.2020";945;1
"08.08.2020";945;0
"09.08.2020";946;1
"10.08.2020";949;3
"11.08.2020";952;3
"12.08.2020";956;4
"13.08.2020";960;4
"14.08.2020";967;7
"15.08.2020";968;1
"16.08.2020";969;1
"17.08.2020";971;2
"18.08.2020";976;5
"19.08.2020";993;17
"20.08.2020";1005;12
"21.08.2020";1021;16
"22.08.2020";1034;13
"23.08.2020";1039;5
"24.08.2020";1052;13
"25.08.2020";1061;9
"26.08.2020";1070;9
"27.08.2020";1074;4
"28.08.2020";1100;26
"29.08.2020";1105;5
"30.08.2020";1120;15
"31.08.2020";1162;42
"01.09.2020";1176;14
"02.09.2020";1198;22
"03.09.2020";1222;24
"04.09.2020";1255;33
"05.09.2020";1270;15
"06.09.2020";1290;20
"07.09.2020";1333;43
"08.09.2020";1367;34
"09.09.2020";1413;46
"10.09.2020";1463;50
"11.09.2020";1501;38
"12.09.2020";1522;21
"13.09.2020";1547;25
"14.09.2020";1579;32
"15.09.2020";1605;26
"16.09.2020";1634;29
"17.09.2020";1653;19
"18.09.2020";1669;16
"19.09.2020";1675;6
"20.09.2020";1689;14
"21.09.2020";1715;26
"22.09.2020";1732;17
"23.09.2020";1755;23
"24.09.2020";1779;24
"25.09.2020";1804;25
"26.09.2020";1819;15
"27.09.2020";1826;7
"28.09.2020";1839;13
"29.09.2020";1850;11
"30.09.2020";1870;20
"01.10.2020";1891;21
"02.10.2020";1919;28
"03.10.2020";1947;28
"04.10.2020";1953;6
"05.10.2020";1997;44
"06.10.2020";2014;17
"07.10.2020";2038;24
"08.10.2020";2064;26
"09.10.2020";2086;22
"10.10.2020";2101;15
"11.10.2020";2111;10
"12.10.2020";2138;27
"13.10.2020";2170;32
"14.10.2020";2195;25
"15.10.2020";2221;26
"16.10.2020";2231;10
"17.10.2020";2247;16
"18.10.2020";2257;10
"19.10.2020";2292;35
"20.10.2020";2331;39
"21.10.2020";2380;49
"22.10.2020";2431;51
"23.10.2020";2484;53
"24.10.2020";2525;41
"25.10.2020";2571;46
"26.10.2020";2636;65
"27.10.2020";2695;59
"28.10.2020";2772;77
"29.10.2020";2837;65
"30.10.2020";2921;84
"31.10.2020";2991;70
"01.11.2020";3046;55
"02.11.2020";3166;120
"03.11.2020";3280;114
"04.11.2020";3418;138
"05.11.2020";3538;120
"06.11.2020";3655;117
"07.11.2020";3725;70
"08.11.2020";3777;52
"09.11.2020";3918;141
"10.11.2020";4021;103
"11.11.2020";4160;139
"12.11.2020";4272;112
"13.11.2020";4406;134
"14.11.2020";4476;70
"15.11.2020";4534;58
"16.11.2020";4638;104
"17.11.2020";4719;81
"18.11.2020";4797;78
"19.11.2020";4846;49
"20.11.2020";4890;44
"21.11.2020";4913;23
"22.11.2020";4933;20
"23.11.2020";4976;43
"24.11.2020";5010;34
"25.11.2020";5048;38
"26.11.2020";5067;19
"27.11.2020";5096;29
"28.11.2020";5115;19
"29.11.2020";5122;7
"30.11.2020";5148;26
"01.12.2020";5165;17
"02.12.2020";5187;22
"03.12.2020";5208;21
"04.12.2020";5219;11
"05.12.2020";5228;9
"06.12.2020";5244;16
"07.12.2020";5254;10
"08.12.2020";5262;8
"09.12.2020";5280;18
"10.12.2020";5290;10
"11.12.2020";5295;5
"12.12.2020";5301;6
"13.12.2020";5313;12
"14.12.2020";5340;27
"15.12.2020";5360;20
"16.12.2020";5373;13
"17.12.2020";5388;15
"18.12.2020";5404;16
"19.12.2020";5423;19
"20.12.2020";5453;30
"21.12.2020";5497;44
"22.12.2020";5531;34
"23.12.2020";5555;24
"24.12.2020";5571;16
"25.12.2020";5576;5
"26.12.2020";5589;13
"27.12.2020";5599;10
"28.12.2020";5621;22
"29.12.2020";5629;8
"30.12.2020";5650;21
"31.12.2020";5660;10
"01.01.2021";5670;10
"02.01.2021";5693;23
"03.01.2021";5716;23
"04.01.2021";5753;37
"05.01.2021";5787;34
"06.01.2021";5822;35
"07.01.2021";5852;30
"08.01.2021";5883;31
"09.01.2021";5905;22
"10.01.2021";5931;26
"11.01.2021";5967;36
"12.01.2021";5989;22
"13.01.2021";6009;20
"14.01.2021";6028;19
"15.01.2021";6045;17
"16.01.2021";6050;5
"17.01.2021";6065;15
"18.01.2021";6081;16
"19.01.2021";6095;14
"20.01.2021";6106;11
"21.01.2021";6121;15
"22.01.2021";6129;8
"23.01.2021";6146;17
"24.01.2021";6163;17
"25.01.2021";6195;32
"26.01.2021";6213;18
"27.01.2021";6239;26
"28.01.2021";6252;13
"29.01.2021";6276;24
"30.01.2021";6279;3
"31.01.2021";6288;9
"01.02.2021";6331;43
"02.02.2021";6377;46
"03.02.2021";6408;31
"04.02.2021";6434;26
"05.02.2021";6472;38
"06.02.2021";6494;22
"07.02.2021";6506;12
"08.02.2021";6544;38
"09.02.2021";6575;31
"10.02.2021";6609;34
"11.02.2021";6633;24
"12.02.2021";6647;14
"13.02.2021";6654;7
"14.02.2021";6658;4
"15.02.2021";6685;27
"16.02.2021";6693;8
"17.02.2021";6711;18
"18.02.2021";6725;14
"19.02.2021";6733;8
"20.02.2021";6737;4
"21.02.2021";6741;4
"22.02.2021";6760;19
"23.02.2021";6773;13
"24.02.2021";6783;10
"25.02.2021";6796;13
"26.02.2021";6811;15
"27.02.2021";6819;8
"28.02.2021";6832;13
"01.03.2021";6846;14
"02.03.2021";6863;17
"03.03.2021";6887;24
"04.03.2021";6907;20
"05.03.2021";6942;35
"06.03.2021";6949;7
"07.03.2021";6975;26
"08.03.2021";7006;31
"09.03.2021";7020;14
"10.03.2021";7037;17
"11.03.2021";7052;15
"12.03.2021";7080;28
"13.03.2021";7105;25
"14.03.2021";7131;26
"15.03.2021";7161;30
"16.03.2021";7192;31
"17.03.2021";7251;59
"18.03.2021";7311;60
"19.03.2021";7355;44
"20.03.2021";7378;23
"21.03.2021";7412;34
"22.03.2021";7457;45
"23.03.2021";7499;42
"24.03.2021";7558;59
"25.03.2021";7598;40
"26.03.2021";7640;42
"27.03.2021";7665;25
"28.03.2021";7685;20
"29.03.2021";7720;35
"30.03.2021";7754;34
"31.03.2021";7805;51
"01.04.2021";7848;43
"02.04.2021";7888;40
"03.04.2021";7942;54
"04.04.2021";7980;38
"05.04.2021";8016;36
"06.04.2021";8078;62
"07.04.2021";8133;55
"08.04.2021";8177;44
"09.04.2021";8228;51
"10.04.2021";8260;32
"11.04.2021";8283;23
"12.04.2021";8335;52
"13.04.2021";8389;54
"14.04.2021";8430;41
"15.04.2021";8482;52
"16.04.2021";8536;54
"17.04.2021";8559;23
"18.04.2021";8593;34
"19.04.2021";8626;33
"20.04.2021";8658;32
"21.04.2021";8690;32
"22.04.2021";8727;37
"23.04.2021";8776;49
"24.04.2021";8795;19
"25.04.2021";8821;26
"26.04.2021";8855;34
"27.04.2021";8884;29
"28.04.2021";8923;39
"29.04.2021";8971;48
"30.04.2021";9010;39
"01.05.2021";9030;20
"02.05.2021";9051;21
"03.05.2021";9095;44
"04.05.2021";9130;35
"05.05.2021";9173;43
"06.05.2021";9231;58
"07.05.2021";9267;36
"08.05.2021";9298;31
"09.05.2021";9342;44
"10.05.2021";9386;44
"11.05.2021";9412;26
"12.05.2021";9449;37
"13.05.2021";9459;10
"14.05.2021";9496;37
"15.05.2021";9510;14
"16.05.2021";9525;15
"17.05.2021";9536;11
"18.05.2021";9575;39
"19.05.2021";9607;32
"20.05.2021";9630;23
"21.05.2021";9646;16
"22.05.2021";9660;14
"23.05.2021";9668;8
"24.05.2021";9677;9
"25.05.2021";9698;21
"26.05.2021";9711;13
"27.05.2021";9724;13
"28.05.2021";9745;21
"29.05.2021";9753;8
"30.05.2021";9756;3
"31.05.2021";9768;12
"01.06.2021";9775;7
"02.06.2021";9782;7
"03.06.2021";9793;11
"04.06.2021";9798;5
"05.06.2021";9799;1
"06.06.2021";9804;5
"07.06.2021";9812;8
"08.06.2021";9821;9
"09.06.2021";9832;11
"10.06.2021";9841;9
"11.06.2021";9845;4
"12.06.2021";9850;5
"13.06.2021";9853;3
"14.06.2021";9857;4
"15.06.2021";9870;13
"16.06.2021";9879;9
"17.06.2021";9888;9
"18.06.2021";9890;2
"19.06.2021";9890;0
"20.06.2021";9893;3
"21.06.2021";9900;7
"22.06.2021";9912;12
"23.06.2021";9917;5
"24.06.2021";9926;9
"25.06.2021";9932;6
"26.06.2021";9937;5
"27.06.2021";9939;2
"28.06.2021";9945;6
"29.06.2021";9955;10
"30.06.2021";9964;9
"01.07.2021";9973;9
"02.07.2021";9975;2
"03.07.2021";9977;2
"04.07.2021";9978;1
"05.07.2021";9984;6
"06.07.2021";9999;15
"07.07.2021";10014;15
"08.07.2021";10028;14
"09.07.2021";10036;8
"10.07.2021";10043;7
"11.07.2021";10058;15
"12.07.2021";10069;11
"13.07.2021";10078;9
"14.07.2021";10091;13
"15.07.2021";10123;32
"16.07.2021";10144;21
"17.07.2021";10162;18
"18.07.2021";10187;25
"19.07.2021";10220;33
"20.07.2021";10246;26
"21.07.2021";10286;40
"22.07.2021";10317;31
"23.07.2021";10355;38
"24.07.2021";10390;35
"25.07.2021";10426;36
"26.07.2021";10485;59
"27.07.2021";10564;79
"28.07.2021";10645;81
"29.07.2021";10729;84
"30.07.2021";10799;70
"31.07.2021";10848;49
"01.08.2021";10898;50
"02.08.2021";10978;80
"03.08.2021";11089;111
"04.08.2021";11217;128
"05.08.2021";11334;117
"06.08.2021";11467;133
"07.08.2021";11549;82
"08.08.2021";11622;73
"09.08.2021";11800;178
"10.08.2021";11909;109
"11.08.2021";12015;106
"12.08.2021";12125;110
"13.08.2021";12221;96
"14.08.2021";12283;62
"15.08.2021";12338;55
"16.08.2021";12476;138
"17.08.2021";12568;92
"18.08.2021";12665;97
"19.08.2021";12745;80
"20.08.2021";12839;94
"21.08.2021";12893;54
"22.08.2021";12943;50
"23.08.2021";13084;141
"24.08.2021";13224;140
"25.08.2021";13340;116
"26.08.2021";13485;145
"27.08.2021";13590;105
"28.08.2021";13647;57
"29.08.2021";13687;40
"30.08.2021";13829;142
"31.08.2021";13933;104
"01.09.2021";14031;98
"02.09.2021";14109;78
"03.09.2021";14168;59
"04.09.2021";14196;28
"05.09.2021";14237;41
"06.09.2021";14302;65
"07.09.2021";14356;54
"08.09.2021";14418;62
"09.09.2021";14433;15
