"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";1;1
"27.02.2020";1;0
"28.02.2020";5;4
"29.02.2020";5;0
"01.03.2020";6;1
"02.03.2020";8;2
"03.03.2020";16;8
"04.03.2020";22;6
"05.03.2020";27;5
"06.03.2020";36;9
"07.03.2020";40;4
"08.03.2020";59;19
"09.03.2020";131;72
"10.03.2020";176;45
"11.03.2020";220;44
"12.03.2020";276;56
"13.03.2020";332;56
"14.03.2020";372;40
"15.03.2020";402;30
"16.03.2020";462;60
"17.03.2020";528;66
"18.03.2020";596;68
"19.03.2020";661;65
"20.03.2020";733;72
"21.03.2020";785;52
"22.03.2020";839;54
"23.03.2020";909;70
"24.03.2020";1002;93
"25.03.2020";1082;80
"26.03.2020";1142;60
"27.03.2020";1208;66
"28.03.2020";1246;38
"29.03.2020";1287;41
"30.03.2020";1364;77
"31.03.2020";1420;56
"01.04.2020";1477;57
"02.04.2020";1529;52
"03.04.2020";1571;42
"04.04.2020";1600;29
"05.04.2020";1625;25
"06.04.2020";1664;39
"07.04.2020";1700;36
"08.04.2020";1725;25
"09.04.2020";1751;26
"10.04.2020";1768;17
"11.04.2020";1787;19
"12.04.2020";1809;22
"13.04.2020";1830;21
"14.04.2020";1855;25
"15.04.2020";1877;22
"16.04.2020";1893;16
"17.04.2020";1929;36
"18.04.2020";1937;8
"19.04.2020";1941;4
"20.04.2020";1964;23
"21.04.2020";1980;16
"22.04.2020";1998;18
"23.04.2020";2011;13
"24.04.2020";2024;13
"25.04.2020";2027;3
"26.04.2020";2031;4
"27.04.2020";2049;18
"28.04.2020";2065;16
"29.04.2020";2072;7
"30.04.2020";2082;10
"01.05.2020";2085;3
"02.05.2020";2092;7
"03.05.2020";2101;9
"04.05.2020";2119;18
"05.05.2020";2132;13
"06.05.2020";2143;11
"07.05.2020";2155;12
"08.05.2020";2173;18
"09.05.2020";2176;3
"10.05.2020";2177;1
"11.05.2020";2187;10
"12.05.2020";2194;7
"13.05.2020";2204;10
"14.05.2020";2211;7
"15.05.2020";2222;11
"16.05.2020";2228;6
"17.05.2020";2230;2
"18.05.2020";2240;10
"19.05.2020";2247;7
"20.05.2020";2255;8
"21.05.2020";2256;1
"22.05.2020";2266;10
"23.05.2020";2266;0
"24.05.2020";2269;3
"25.05.2020";2277;8
"26.05.2020";2281;4
"27.05.2020";2289;8
"28.05.2020";2292;3
"29.05.2020";2295;3
"30.05.2020";2295;0
"31.05.2020";2297;2
"01.06.2020";2299;2
"02.06.2020";2302;3
"03.06.2020";2307;5
"04.06.2020";2308;1
"05.06.2020";2312;4
"06.06.2020";2314;2
"07.06.2020";2314;0
"08.06.2020";2321;7
"09.06.2020";2325;4
"10.06.2020";2326;1
"11.06.2020";2329;3
"12.06.2020";2335;6
"13.06.2020";2337;2
"14.06.2020";2337;0
"15.06.2020";2346;9
"16.06.2020";2355;9
"17.06.2020";2362;7
"18.06.2020";2367;5
"19.06.2020";2371;4
"20.06.2020";2372;1
"21.06.2020";2373;1
"22.06.2020";2387;14
"23.06.2020";2392;5
"24.06.2020";2407;15
"25.06.2020";2415;8
"26.06.2020";2429;14
"27.06.2020";2432;3
"28.06.2020";2432;0
"29.06.2020";2449;17
"30.06.2020";2451;2
"01.07.2020";2454;3
"02.07.2020";2457;3
"03.07.2020";2462;5
"04.07.2020";2463;1
"05.07.2020";2463;0
"06.07.2020";2474;11
"07.07.2020";2478;4
"08.07.2020";2481;3
"09.07.2020";2482;1
"10.07.2020";2486;4
"11.07.2020";2486;0
"12.07.2020";2488;2
"13.07.2020";2495;7
"14.07.2020";2499;4
"15.07.2020";2500;1
"16.07.2020";2500;0
"17.07.2020";2501;1
"18.07.2020";2501;0
"19.07.2020";2501;0
"20.07.2020";2512;11
"21.07.2020";2512;0
"22.07.2020";2523;11
"23.07.2020";2526;3
"24.07.2020";2540;14
"25.07.2020";2540;0
"26.07.2020";2546;6
"27.07.2020";2553;7
"28.07.2020";2558;5
"29.07.2020";2566;8
"30.07.2020";2571;5
"31.07.2020";2581;10
"01.08.2020";2588;7
"02.08.2020";2591;3
"03.08.2020";2599;8
"04.08.2020";2615;16
"05.08.2020";2634;19
"06.08.2020";2663;29
"07.08.2020";2707;44
"08.08.2020";2723;16
"09.08.2020";2741;18
"10.08.2020";2764;23
"11.08.2020";2783;19
"12.08.2020";2800;17
"13.08.2020";2813;13
"14.08.2020";2831;18
"15.08.2020";2844;13
"16.08.2020";2852;8
"17.08.2020";2882;30
"18.08.2020";2892;10
"19.08.2020";2901;9
"20.08.2020";2912;11
"21.08.2020";2918;6
"22.08.2020";2929;11
"23.08.2020";2929;0
"24.08.2020";2940;11
"25.08.2020";2946;6
"26.08.2020";2953;7
"27.08.2020";2965;12
"28.08.2020";2988;23
"29.08.2020";3004;16
"30.08.2020";3018;14
"31.08.2020";3075;57
"01.09.2020";3130;55
"02.09.2020";3179;49
"03.09.2020";3251;72
"04.09.2020";3306;55
"05.09.2020";3339;33
"06.09.2020";3357;18
"07.09.2020";3397;40
"08.09.2020";3429;32
"09.09.2020";3464;35
"10.09.2020";3490;26
"11.09.2020";3524;34
"12.09.2020";3539;15
"13.09.2020";3551;12
"14.09.2020";3568;17
"15.09.2020";3592;24
"16.09.2020";3635;43
"17.09.2020";3659;24
"18.09.2020";3680;21
"19.09.2020";3698;18
"20.09.2020";3714;16
"21.09.2020";3740;26
"22.09.2020";3761;21
"23.09.2020";3794;33
"24.09.2020";3824;30
"25.09.2020";3851;27
"26.09.2020";3855;4
"27.09.2020";3864;9
"28.09.2020";3884;20
"29.09.2020";3901;17
"30.09.2020";3916;15
"01.10.2020";3945;29
"02.10.2020";3959;14
"03.10.2020";3983;24
"04.10.2020";4004;21
"05.10.2020";4046;42
"06.10.2020";4080;34
"07.10.2020";4137;57
"08.10.2020";4187;50
"09.10.2020";4228;41
"10.10.2020";4237;9
"11.10.2020";4252;15
"12.10.2020";4305;53
"13.10.2020";4328;23
"14.10.2020";4360;32
"15.10.2020";4396;36
"16.10.2020";4431;35
"17.10.2020";4451;20
"18.10.2020";4473;22
"19.10.2020";4519;46
"20.10.2020";4544;25
"21.10.2020";4586;42
"22.10.2020";4657;71
"23.10.2020";4772;115
"24.10.2020";4830;58
"25.10.2020";4886;56
"26.10.2020";5010;124
"27.10.2020";5127;117
"28.10.2020";5289;162
"29.10.2020";5393;104
"30.10.2020";5586;193
"31.10.2020";5685;99
"01.11.2020";5779;94
"02.11.2020";5965;186
"03.11.2020";6146;181
"04.11.2020";6380;234
"05.11.2020";6566;186
"06.11.2020";6771;205
"07.11.2020";6905;134
"08.11.2020";7036;131
"09.11.2020";7284;248
"10.11.2020";7467;183
"11.11.2020";7675;208
"12.11.2020";7880;205
"13.11.2020";8071;191
"14.11.2020";8185;114
"15.11.2020";8313;128
"16.11.2020";8536;223
"17.11.2020";8758;222
"18.11.2020";8999;241
"19.11.2020";9214;215
"20.11.2020";9436;222
"21.11.2020";9557;121
"22.11.2020";9665;108
"23.11.2020";9929;264
"24.11.2020";10124;195
"25.11.2020";10348;224
"26.11.2020";10548;200
"27.11.2020";10738;190
"28.11.2020";10846;108
"29.11.2020";10950;104
"30.11.2020";11136;186
"01.12.2020";11284;148
"02.12.2020";11468;184
"03.12.2020";11672;204
"04.12.2020";11850;178
"05.12.2020";11978;128
"06.12.2020";12101;123
"07.12.2020";12312;211
"08.12.2020";12483;171
"09.12.2020";12673;190
"10.12.2020";12847;174
"11.12.2020";13030;183
"12.12.2020";13127;97
"13.12.2020";13228;101
"14.12.2020";13476;248
"15.12.2020";13644;168
"16.12.2020";13816;172
"17.12.2020";13948;132
"18.12.2020";14121;173
"19.12.2020";14226;105
"20.12.2020";14331;105
"21.12.2020";14539;208
"22.12.2020";14717;178
"23.12.2020";14917;200
"24.12.2020";14992;75
"25.12.2020";15091;99
"26.12.2020";15250;159
"27.12.2020";15379;129
"28.12.2020";15623;244
"29.12.2020";15851;228
"30.12.2020";16062;211
"31.12.2020";16195;133
"01.01.2021";16294;99
"02.01.2021";16430;136
"03.01.2021";16553;123
"04.01.2021";16818;265
"05.01.2021";17063;245
"06.01.2021";17273;210
"07.01.2021";17514;241
"08.01.2021";17690;176
"09.01.2021";17805;115
"10.01.2021";17921;116
"11.01.2021";18124;203
"12.01.2021";18322;198
"13.01.2021";18488;166
"14.01.2021";18643;155
"15.01.2021";18781;138
"16.01.2021";18871;90
"17.01.2021";18939;68
"18.01.2021";19103;164
"19.01.2021";19235;132
"20.01.2021";19353;118
"21.01.2021";19477;124
"22.01.2021";19587;110
"23.01.2021";19666;79
"24.01.2021";19729;63
"25.01.2021";19860;131
"26.01.2021";19958;98
"27.01.2021";20095;137
"28.01.2021";20205;110
"29.01.2021";20332;127
"30.01.2021";20417;85
"31.01.2021";20490;73
"01.02.2021";20603;113
"02.02.2021";20705;102
"03.02.2021";20849;144
"04.02.2021";20952;103
"05.02.2021";21085;133
"06.02.2021";21175;90
"07.02.2021";21269;94
"08.02.2021";21385;116
"09.02.2021";21481;96
"10.02.2021";21609;128
"11.02.2021";21718;109
"12.02.2021";21837;119
"13.02.2021";21924;87
"14.02.2021";21991;67
"15.02.2021";22091;100
"16.02.2021";22195;104
"17.02.2021";22296;101
"18.02.2021";22402;106
"19.02.2021";22516;114
"20.02.2021";22566;50
"21.02.2021";22653;87
"22.02.2021";22779;126
"23.02.2021";22931;152
"24.02.2021";23104;173
"25.02.2021";23302;198
"26.02.2021";23468;166
"27.02.2021";23592;124
"28.02.2021";23705;113
"01.03.2021";23896;191
"02.03.2021";24115;219
"03.03.2021";24350;235
"04.03.2021";24565;215
"05.03.2021";24786;221
"06.03.2021";24950;164
"07.03.2021";25156;206
"08.03.2021";25466;310
"09.03.2021";25777;311
"10.03.2021";26111;334
"11.03.2021";26426;315
"12.03.2021";26782;356
"13.03.2021";27058;276
"14.03.2021";27368;310
"15.03.2021";27808;440
"16.03.2021";28199;391
"17.03.2021";28620;421
"18.03.2021";29064;444
"19.03.2021";29488;424
"20.03.2021";29761;273
"21.03.2021";30022;261
"22.03.2021";30508;486
"23.03.2021";30945;437
"24.03.2021";31376;431
"25.03.2021";31721;345
"26.03.2021";32115;394
"27.03.2021";32374;259
"28.03.2021";32602;228
"29.03.2021";33016;414
"30.03.2021";33371;355
"31.03.2021";33725;354
"01.04.2021";33995;270
"02.04.2021";34296;301
"03.04.2021";34588;292
"04.04.2021";34845;257
"05.04.2021";35169;324
"06.04.2021";35530;361
"07.04.2021";35928;398
"08.04.2021";36257;329
"09.04.2021";36548;291
"10.04.2021";36738;190
"11.04.2021";36885;147
"12.04.2021";37136;251
"13.04.2021";37330;194
"14.04.2021";37548;218
"15.04.2021";37714;166
"16.04.2021";37876;162
"17.04.2021";37988;112
"18.04.2021";38098;110
"19.04.2021";38300;202
"20.04.2021";38479;179
"21.04.2021";38656;177
"22.04.2021";38766;110
"23.04.2021";38921;155
"24.04.2021";38992;71
"25.04.2021";39084;92
"26.04.2021";39245;161
"27.04.2021";39402;157
"28.04.2021";39514;112
"29.04.2021";39614;100
"30.04.2021";39745;131
"01.05.2021";39817;72
"02.05.2021";39880;63
"03.05.2021";40020;140
"04.05.2021";40119;99
"05.05.2021";40242;123
"06.05.2021";40350;108
"07.05.2021";40493;143
"08.05.2021";40586;93
"09.05.2021";40668;82
"10.05.2021";40827;159
"11.05.2021";40953;126
"12.05.2021";41046;93
"13.05.2021";41119;73
"14.05.2021";41245;126
"15.05.2021";41310;65
"16.05.2021";41376;66
"17.05.2021";41414;38
"18.05.2021";41553;139
"19.05.2021";41660;107
"20.05.2021";41765;105
"21.05.2021";41908;143
"22.05.2021";41967;59
"23.05.2021";42047;80
"24.05.2021";42110;63
"25.05.2021";42198;88
"26.05.2021";42262;64
"27.05.2021";42347;85
"28.05.2021";42413;66
"29.05.2021";42438;25
"30.05.2021";42476;38
"31.05.2021";42535;59
"01.06.2021";42586;51
"02.06.2021";42626;40
"03.06.2021";42666;40
"04.06.2021";42710;44
"05.06.2021";42746;36
"06.06.2021";42771;25
"07.06.2021";42817;46
"08.06.2021";42870;53
"09.06.2021";42908;38
"10.06.2021";42946;38
"11.06.2021";42972;26
"12.06.2021";42991;19
"13.06.2021";43008;17
"14.06.2021";43040;32
"15.06.2021";43075;35
"16.06.2021";43101;26
"17.06.2021";43121;20
"18.06.2021";43139;18
"19.06.2021";43157;18
"20.06.2021";43174;17
"21.06.2021";43196;22
"22.06.2021";43227;31
"23.06.2021";43247;20
"24.06.2021";43266;19
"25.06.2021";43301;35
"26.06.2021";43327;26
"27.06.2021";43347;20
"28.06.2021";43393;46
"29.06.2021";43438;45
"30.06.2021";43493;55
"01.07.2021";43536;43
"02.07.2021";43601;65
"03.07.2021";43630;29
"04.07.2021";43659;29
"05.07.2021";43723;64
"06.07.2021";43778;55
"07.07.2021";43831;53
"08.07.2021";43884;53
"09.07.2021";43927;43
"10.07.2021";43962;35
"11.07.2021";43987;25
"12.07.2021";44046;59
"13.07.2021";44096;50
"14.07.2021";44158;62
"15.07.2021";44199;41
"16.07.2021";44254;55
"17.07.2021";44278;24
"18.07.2021";44301;23
"19.07.2021";44366;65
"20.07.2021";44418;52
"21.07.2021";44488;70
"22.07.2021";44557;69
"23.07.2021";44602;45
"24.07.2021";44635;33
"25.07.2021";44671;36
"26.07.2021";44734;63
"27.07.2021";44815;81
"28.07.2021";44881;66
"29.07.2021";44943;62
"30.07.2021";45019;76
"31.07.2021";45083;64
"01.08.2021";45111;28
"02.08.2021";45188;77
"03.08.2021";45268;80
"04.08.2021";45363;95
"05.08.2021";45435;72
"06.08.2021";45514;79
"07.08.2021";45591;77
"08.08.2021";45668;77
"09.08.2021";45801;133
"10.08.2021";45933;132
"11.08.2021";46080;147
"12.08.2021";46212;132
"13.08.2021";46342;130
"14.08.2021";46439;97
"15.08.2021";46545;106
"16.08.2021";46693;148
"17.08.2021";46851;158
"18.08.2021";47030;179
"19.08.2021";47224;194
"20.08.2021";47413;189
"21.08.2021";47566;153
"22.08.2021";47710;144
"23.08.2021";48009;299
"24.08.2021";48392;383
"25.08.2021";48802;410
"26.08.2021";49195;393
"27.08.2021";49599;404
"28.08.2021";49902;303
"29.08.2021";50209;307
"30.08.2021";50753;544
"31.08.2021";51267;514
"01.09.2021";51772;505
"02.09.2021";52276;504
"03.09.2021";52827;551
"04.09.2021";53158;331
"05.09.2021";53497;339
"06.09.2021";54183;686
"07.09.2021";54748;565
"08.09.2021";55214;466
"09.09.2021";55425;211
